Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median
C4379553,93,50,1981-08-19T03:36:44,93.0,93.98,93.49,142.652,143.632,143.142,267.281,267.281,267.281,235.371,236.351,235.861,98.640755,102.54484,100.59049,9.129162,9.135326,9.132263,78.72285,78.72637,78.72461,82.03425717,31.09,0.76891599,0.63527065,0.15033305,0.12419822,0.76986658,0.15052748
C4379553,94,50,1981-08-19T03:36:44,94.0,94.98,94.49,143.652,144.632,144.142,267.281,267.281,267.281,236.371,237.351,236.861,94.72877,98.57066,96.640724,9.135439,9.141317,9.138404,78.71922,78.72278,78.721,82.03425717,31.09,0.95387121,0.56362483,0.18656313,0.11024058,0.88889466,0.17384396
C4379553,95,50,1981-08-19T03:36:44,95.0,95.98,95.49,144.652,145.632,145.142,267.281,267.281,267.281,237.371,238.351,237.861,90.885056,94.647385,92.7602,9.1414385,9.147025,9.144254,78.71558,78.71915,78.71737,82.03425717,31.09,0.92715688,0.4842875,0.18139967,0.09475362,0.83048893,0.16248028
C4379553,96,50,1981-08-19T03:36:44,96.0,96.98,96.49,145.652,146.632,146.142,267.281,267.281,267.281,238.371,239.351,238.861,87.13287,90.80634,88.96258,9.14714,9.152434,9.14981,78.71193,78.7155,78.71372,82.03425717,31.09,1.5639383,0.46281217,0.30608224,0.09058295,1.57391874,0.30804773
C4379553,97,50,1981-08-19T03:36:44,97.0,97.98,97.49,146.652,147.632,147.142,267.281,267.281,267.281,239.371,240.351,239.861,83.485855,87.05862,85.26343,9.152543,9.157551,9.15507,78.708244,78.71185,78.710045,82.03425717,31.09,0.89946742,0.30909028,0.17609408,0.06051631,0.91114151,0.17837899
C4379553,98,50,1981-08-19T03:36:44,98.0,98.98,98.49,147.652,148.632,148.142,267.281,267.281,267.281,240.371,241.351,240.861,79.96629,83.41367,81.679726,9.157651,9.162372,9.160033,78.70456,78.708176,78.70637,82.03425717,31.09,0.87447071,0.5332269,0.17124766,0.10440865,0.78240368,0.15323161
C4379553,99,50,1981-08-19T03:36:44,99.0,99.98,99.49,148.652,149.632,149.142,267.281,267.281,267.281,241.371,242.351,241.861,76.59154,79.8978,78.23088,9.162462,9.166885,9.164698,78.70085,78.704475,78.70267,82.03425717,31.09,1.27779679,0.50701385,0.25032877,0.09933917,1.32435022,0.25943994
C4379553,100,50,1981-08-19T03:36:44,100.0,100.98,100.49,149.652,150.632,150.142,267.281,267.281,267.281,242.371,243.351,242.861,73.38469,76.52535,74.94064,9.166972,9.171103,9.169064,78.697136,78.70078,78.69896,82.03425717,31.09,1.17816473,0.41550779,0.23087667,0.08141611,1.13945334,0.22330312
C4379553,101,50,1981-08-19T03:36:44,101.0,101.98,101.49,150.652,151.632,151.142,267.281,267.281,267.281,243.371,244.351,243.861,70.3721,73.32428,71.83133,9.171183,9.175017,9.173123,78.69339,78.69706,78.69523,82.03425717,31.09,1.60908077,0.64994716,0.31541418,0.12738368,1.80434249,0.35370464
C4379553,102,50,1981-08-19T03:36:44,102.0,102.98,102.49,151.652,152.632,152.142,267.281,267.281,267.281,244.371,245.351,244.861,67.585556,70.31399,68.93212,9.175092,9.178626,9.176882,78.689644,78.69332,78.69148,82.03425717,31.09,1.24197761,0.31642452,0.24354341,0.0620564,1.27934987,0.25085052
