Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_209RF_FMOVIE001_PRIME_1,0,2014-10-27T01:33:17,51.92,216.32,13.132,15.311,14.221,132.592,134.346,133.469,70.939,72.118,71.529,66.732,45,6.22406,1.27684,1.96962,0.40051
ISS_209RF_FMOVIE001_PRIME_2,0,2014-10-27T07:45:01,96.58,252.32,13.562,17.381,15.471,127.736,129.046,128.391,70.394,71.136,70.765,66.732,43,4.91666,1.23774,1.61982,0.40803
ISS_211RF_FMOVIE001_PRIME,0,2015-01-03T18:11:09,0.0,359.98,13.463,14.351,13.907,79.82,82.621,81.221,61.425,61.79,61.608,66.249,100,1.52903,0.38399,0.72704,0.18282
ISS_211RF_HIRESFRNG001_PRIME,0,2015-01-10T03:44:29,163.78,243.24,4.56,5.77,5.165,113.776,124.844,119.31,120.339,125.13,122.735,66.213,21,2.0512,0.45489,1.10778,0.23792
ISS_211RI_EGAPMOVMP001_PRIME,0,2015-01-02T23:46:37,0.0,359.98,14.505,15.637,15.071,83.031,85.643,84.337,61.174,61.642,61.408,66.254,99,1.54147,0.38881,0.73724,0.18617
ISS_212RF_FMOVIE001_PRIME_1,0,2015-02-07T00:23:57,168.82,330.48,10.735,15.123,12.929,75.77,77.893,76.831,70.606,71.122,70.864,66.03,44,1.9032,0.44771,0.62036,0.14593
ISS_212RF_FMOVIE001_PRIME_2,0,2015-02-07T06:36:45,173.78,334.82,10.055,11.876,10.965,82.149,84.196,83.172,71.038,71.379,71.208,66.024,44,2.12771,0.50236,0.68322,0.16146
ISS_213RF_FMOVIE001_PRIME,0,2015-03-09T20:46:21,0.0,359.98,12.139,17.85,14.994,99.487,102.313,100.9,81.421,81.573,81.497,65.827,100,4.97489,0.8686,0.73471,0.1283
ISS_213RF_FMOVIE002_PRIME,0,2015-03-10T22:27:09,0.0,359.98,10.249,23.54,16.895,93.58,97.145,95.362,81.329,81.658,81.493,65.821,93,4.72807,0.876,0.69588,0.12869
ISS_231RI_EGAPMOVMP001_PRIME,0,2016-02-06T01:18:20,0.0,359.98,13.688,29.628,21.658,101.171,103.566,102.369,80.483,81.306,80.895,64.161,94,4.8203,1.20363,0.75932,0.18156
ISS_232RF_FMOVIE001_PRIME,0,2016-02-10T00:41:00,13.08,355.96,11.481,16.945,14.213,83.924,86.845,85.384,76.528,77.179,76.854,64.147,95,2.98145,0.79914,0.67794,0.18497
ISS_232RI_EGAPMOVMP001_PRIME_1,0,2016-02-21T02:05:16,0.0,359.98,14.188,24.861,19.525,106.382,108.922,107.652,77.85,78.946,78.398,64.102,94,4.42463,1.50427,0.89358,0.30083
ISS_232RI_EGAPMOVMP001_PRIME_2,0,2016-02-21T15:15:08,0.0,359.98,14.516,22.753,18.634,99.915,100.874,100.395,77.63,78.076,77.853,64.105,42,3.68031,1.24106,0.77682,0.26108
ISS_233RF_FMOVIE001_PRIME_1,0,2016-03-06T01:38:04,0.0,359.98,10.518,11.901,11.21,56.568,58.669,57.619,67.892,68.379,68.136,64.053,52,1.5583,0.52756,0.58088,0.19495
