Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Radial Res,Mean Angular Res,Mean Phase,Mean Emission,Incidence,Normal EW Mean,Normal EW Std,Normal EW139900 Mean,Normal EW139905 Mean,Normal EW139910 Mean,Normal EW139915 Mean,Normal EW139920 Mean,Normal EW139925 Mean,Normal EW139930 Mean,Normal EW139935 Mean,Normal EW139940 Mean,Normal EW139945 Mean,Normal EW139950 Mean,Normal EW139955 Mean,Normal EW139960 Mean,Normal EW139965 Mean,Normal EW139970 Mean,Normal EW139975 Mean,Normal EW139980 Mean,Normal EW139985 Mean,Normal EW139990 Mean,Normal EW139995 Mean,Normal EW140000 Mean,Normal EW140005 Mean,Normal EW140010 Mean,Normal EW140015 Mean,Normal EW140020 Mean,Normal EW140025 Mean,Normal EW140030 Mean,Normal EW140035 Mean,Normal EW140040 Mean,Normal EW140045 Mean,Normal EW140050 Mean,Normal EW140055 Mean,Normal EW140060 Mean,Normal EW140065 Mean,Normal EW140070 Mean,Normal EW140075 Mean,Normal EW140080 Mean,Normal EW140085 Mean,Normal EW140090 Mean,Normal EW140095 Mean,Normal EW140100 Mean,Normal EW140105 Mean,Normal EW140110 Mean,Normal EW140115 Mean,Normal EW140120 Mean,Normal EW140125 Mean,Normal EW140130 Mean,Normal EW140135 Mean,Normal EW140140 Mean,Normal EW140145 Mean
ISS_039RF_FMOVIE001_VIMS,9910,1,2007-02-27T12:49:35,198.2,198.2,10.209351,0.0,103.7657,144.83658,76.43975463,1.39722111,0.0,0.00089413,0.0009029,0.00090571,0.00103901,0.00109661,0.00114153,0.00124334,0.00113989,0.00107119,0.00114952,0.00122785,0.00134376,0.00145968,0.00153225,0.00164068,0.00163531,0.00162684,0.00169928,0.0018672,0.00192715,0.00206593,0.00214523,0.00245994,0.00254362,0.00289257,0.00291261,0.00293579,0.00295772,0.00314849,0.00314933,0.00363108,0.00363192,0.00388779,0.00388863,0.00342656,0.00337596,0.00374533,0.00383829,0.00419222,0.00428132,0.00431631,0.00433178,0.0040808,0.00390044,0.00402941,0.00414824,0.00427911,0.00436664,0.00432794,0.00428923
ISS_039RF_FMOVIE001_VIMS,9911,1,2007-02-27T12:49:35,198.22,198.22,10.209184,0.0,103.76578,144.8379,76.43975463,1.39240396,0.0,0.00088102,0.00089776,0.00091042,0.0009142,0.00103505,0.00106589,0.00107172,0.00107764,0.00121545,0.00126362,0.00126983,0.00127425,0.0013967,0.0014786,0.00156409,0.00164958,0.00165214,0.00165469,0.00181682,0.00205961,0.00215666,0.00230183,0.00241655,0.00268315,0.00283198,0.00317813,0.00312104,0.00289511,0.00294425,0.00337988,0.00342912,0.00386572,0.00386654,0.00359764,0.00359846,0.00332987,0.00333069,0.00403295,0.00411171,0.0041088,0.00410921,0.00405424,0.00404111,0.00390447,0.00387093,0.00421779,0.00437636,0.00439508,0.00440358,0.00411539
ISS_039RF_FMOVIE001_VIMS,9912,1,2007-02-27T12:49:35,198.24,198.24,10.209019,0.0,103.76587,144.83925,76.43975463,1.39349916,0.0,0.00090149,0.00089724,0.00089806,0.00104594,0.0010631,0.0010658,0.00106682,0.00105691,0.00105504,0.0013897,0.00125567,0.00138975,0.00145808,0.00156268,0.00160797,0.00176653,0.00187251,0.00187665,0.00187967,0.00205257,0.00222546,0.00232306,0.00246905,0.0025589,0.00269328,0.00281603,0.00310138,0.00305277,0.00293827,0.0032869,0.00391143,0.00391062,0.00390493,0.0038572,0.0034212,0.00344517,0.00365439,0.0036552,0.00417408,0.00417489,0.00440033,0.00440114,0.00390873,0.00385474,0.00415145,0.00418514,0.00437075,0.00441699,0.0042385,0.00416379
ISS_039RF_FMOVIE001_VIMS,9913,1,2007-02-27T12:49:35,198.26,198.26,10.208853,0.0,103.76594,144.8406,76.43975463,1.37943601,0.0,0.00108901,0.00108824,0.00107474,0.00107557,0.00106043,0.00106125,0.00125595,0.00125678,0.00124404,0.00124336,0.00125264,0.0012544,0.00144752,0.00150401,0.0016497,0.00171261,0.0018241,0.00187236,0.00198446,0.00205947,0.00203425,0.00201771,0.00235424,0.00269076,0.0028092,0.00292763,0.00292037,0.00290906,0.0030946,0.0033725,0.00346505,0.00389174,0.00386215,0.00366842,0.00360199,0.00333378,0.00339181,0.0039075,0.00395733,0.00439927,0.0044001,0.00411435,0.00411517,0.0039195,0.00392033,0.00431393,0.00435839,0.00435035,0.00435019,0.00414624
ISS_039RF_FMOVIE001_VIMS,9914,1,2007-02-27T12:49:35,198.28,198.28,10.208688,0.0,103.76603,144.84195,76.43975463,1.36869007,0.0,0.00089869,0.00088578,0.00090702,0.00109139,0.00107406,0.00091127,0.00091212,0.00123027,0.00123111,0.00128112,0.00128197,0.00145862,0.001479,0.00162725,0.00157519,0.0015939,0.0016252,0.00196546,0.00205116,0.00219702,0.00226002,0.00243521,0.00251077,0.00274288,0.00289791,0.00305282,0.00315638,0.00312948,0.00310259,0.0032294,0.00341921,0.00358657,0.00383719,0.00368158,0.00342637,0.00349018,0.00363792,0.0037298,0.00409476,0.00414945,0.00436569,0.00431721,0.00387417,0.00390008,0.00412653,0.00412738,0.00436191,0.00436276,0.00411847,0.00411931
ISS_039RF_FMOVIE001_VIMS,9915,1,2007-02-27T12:49:35,198.3,198.3,10.208523,0.0,103.76609,144.84328,76.43975463,1.37345775,0.0,0.0009159,0.00096153,0.00106664,0.00107264,0.00109366,0.00108903,0.00106749,0.00108725,0.00125707,0.001258,0.00125837,0.00125937,0.00147062,0.00147163,0.00162034,0.00163775,0.00182688,0.00167821,0.00197555,0.00205063,0.0022007,0.00223896,0.00236456,0.00241896,0.00294707,0.00317397,0.00304303,0.00295606,0.00307204,0.00314969,0.00337811,0.00360653,0.00361003,0.00361354,0.0035248,0.00327796,0.0034633,0.00391064,0.00405123,0.00437795,0.00434007,0.00418554,0.00413049,0.00390727,0.00396043,0.00443094,0.00443536,0.00446716,0.00446816,0.0041504
ISS_039RF_FMOVIE001_VIMS,9916,1,2007-02-27T12:49:35,198.32,198.32,10.208359,0.0,103.76617,144.84464,76.43975463,1.36721895,0.0,0.00088485,0.00091687,0.00092048,0.00092754,0.00097136,0.00107224,0.0010809,0.00111247,0.00113944,0.00124426,0.00124812,0.00127469,0.001276,0.00127963,0.00128065,0.00166569,0.00166671,0.00186897,0.00186999,0.00203473,0.00205395,0.00223859,0.00226002,0.00276956,0.00289771,0.00288817,0.00288466,0.00275127,0.00269468,0.0032366,0.00359822,0.00375069,0.00385267,0.00360969,0.0033667,0.00340806,0.00344943,0.00364898,0.00395181,0.0040273,0.00414003,0.00407358,0.00391718,0.00391692,0.00391494,0.00400797,0.00437703,0.00432479,0.00411275,0.00408744
ISS_039RF_FMOVIE001_VIMS,9917,1,2007-02-27T12:49:35,198.34,198.34,10.208195,0.0,103.76625,144.84598,76.43975463,1.34949323,0.0,0.00089181,0.00090622,0.00091595,0.00096317,0.00104995,0.00106478,0.0010866,0.00114002,0.00126355,0.00125461,0.00121631,0.00129758,0.0016201,0.00162143,0.0016267,0.0016313,0.00166601,0.00166685,0.00202687,0.00202772,0.00201663,0.00218454,0.00245787,0.00248103,0.00284154,0.00288235,0.00286874,0.00286597,0.00293191,0.00294903,0.00341127,0.00360985,0.00363437,0.00364537,0.00346811,0.00335022,0.00349936,0.0036485,0.00391864,0.00417535,0.0040261,0.00388228,0.00389487,0.00391333,0.00404803,0.00436121,0.00431847,0.00421763,0.00419938,0.0041238
ISS_039RF_FMOVIE001_VIMS,9918,1,2007-02-27T12:49:35,198.36,198.36,10.208031,0.0,103.76633,144.84732,76.43975463,1.35122829,0.0,0.00072282,0.00071867,0.00088708,0.00105549,0.00105309,0.00105282,0.00106458,0.00108179,0.00115795,0.00127178,0.00126129,0.00123572,0.00131302,0.00149228,0.00151958,0.00162633,0.00163006,0.00164248,0.00166649,0.00187596,0.00187679,0.00229625,0.00229708,0.00270151,0.00272799,0.00296741,0.00299474,0.00296074,0.0029577,0.00347861,0.00360945,0.00383955,0.00389769,0.0035466,0.00339661,0.00352821,0.00358508,0.0037957,0.00393639,0.00405774,0.00413891,0.00391189,0.00366044,0.00376376,0.00391833,0.00409844,0.00436821,0.00438766,0.00443193,0.00427584
ISS_039RF_FMOVIE001_VIMS,9919,1,2007-02-27T12:49:35,198.38,198.38,10.207867,0.0,103.7664,144.84865,76.43975463,1.34999775,0.0,0.00056384,0.00076098,0.00089267,0.00091287,0.00092661,0.00099947,0.00107234,0.00107295,0.00108149,0.0011568,0.00126937,0.001269,0.00126805,0.00138283,0.00164958,0.00164164,0.00162203,0.00171026,0.00206078,0.00210228,0.00226585,0.00229087,0.00250956,0.00251037,0.00289897,0.002917,0.00265112,0.00265193,0.00316068,0.00321793,0.00385834,0.00393021,0.0036712,0.00360705,0.00338957,0.00333581,0.00349816,0.0035682,0.00414578,0.00439377,0.0042096,0.00408709,0.00399105,0.0039273,0.00382253,0.00392847,0.00416803,0.00440759,0.00429696,0.00413063
