Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
IOSIC_276RB_COMPLITB4001_SI,0,16468,2017-05-26T20:28:43,0.0,359.98,187.95,25.611,112.819,72.119,265.243,266.369,265.82,119.241,207.575,166.299,56.750652,154.70956,79.64914,126.58747,132.21358,129.60858,70.416336,75.182396,72.93325,63.26915439,91.49,4.43404657,1.13103391,1.29230673,0.30759832
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T19:15:28,0.0,359.98,179.99,171.957,180.752,177.402,111.826,113.477,112.667,58.48,68.795,64.735,38.195957,40.904255,39.345657,67.25348,67.353516,67.30995,73.856476,73.90929,73.88397,65.44991752,100.0,2.26496079,0.7133345,0.62872293,0.1980232
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,184.09,43.286,56.821,48.2,191.93,193.476,192.694,209.892,224.891,215.506,5.9229774,16.441603,6.924921,31.158085,39.418236,35.58935,83.16902,83.7301,83.47099,67.9820476,96.31,4.02639243,0.76562447,0.45764876,0.08713043
ISS_007RI_AZSCNLOPH001_PRIME,0,17987,2005-05-02T05:53:52,0.0,359.98,179.96,84.413,255.244,164.496,243.603,244.48,244.016,0.002,359.987,260.906,28.667898,65.901085,47.231445,5.7398376,26.251131,14.92553,62.386364,70.87746,65.7512,68.1692899,99.93,1.50645379,0.43733755,0.61525175,0.17900159
ISS_007RI_HPMRDFMOV001_PRIME,0,9533,2005-05-04T01:32:48,0.0,359.98,99.67,134.005,148.347,139.902,248.513,249.433,248.996,245.47,259.024,250.906,4.7771826,10.15863,5.5530405,117.138885,127.0272,121.49022,93.81844,96.84514,95.16428,68.18652858,52.96,9.01139906,1.13418369,0.80672908,0.15510899
ISS_007RI_LPHRLFMOV001_PRIME,0,11244,2005-05-01T04:07:28,0.0,359.98,146.06,219.066,233.664,225.854,240.703,242.0,241.219,338.339,351.669,344.635,6.2711396,7.683,7.009481,29.986975,35.789898,33.631996,68.620476,69.58194,69.03763,68.16048807,62.47,1.18493762,0.34775306,0.42387984,0.12464106
ISS_00ARI_SPKMOVPER001_PRIME,0,17228,2004-11-15T08:52:32,13.54,358.08,185.81,148.321,181.344,165.554,150.295,151.938,151.083,0.004,359.987,18.295,27.02021,45.349976,28.431726,84.21324,84.90501,84.58,77.207726,77.4394,77.30111,66.60331307,95.71,2.68830671,0.59704878,0.59093942,0.13109549
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,169.51,263.499,273.785,268.983,193.178,194.725,193.958,69.968,79.145,75.026,9.414875,10.43138,9.881989,158.30063,161.91473,160.13863,120.74043,122.6673,121.733734,74.3351139,93.66,10.84724762,2.34331318,5.69645936,1.19348648
ISS_029RF_FMOVIE002_VIMS,0,10684,2006-09-30T00:32:15,0.0,359.98,117.84,78.654,88.058,83.24,196.328,197.285,196.802,242.326,251.646,246.438,11.066244,11.544299,11.276604,158.80467,161.00053,159.92052,118.505295,119.567535,119.00625,74.3486806,59.36,11.57657099,2.16419515,5.60674691,1.01353663
ISS_030RF_FMOVIE001_VIMS,0,9615,2006-10-16T01:34:07,0.0,359.98,227.42,262.619,271.345,266.964,239.648,240.521,240.087,22.971,30.823,26.877,10.425309,10.865238,10.629139,150.44888,152.59543,151.52335,130.1524,131.51637,130.84962,74.56557364,53.42,5.69509007,1.03666676,3.72496596,0.67789633
ISS_031RF_FMOVIE001_VIMS,0,16736,2006-10-31T18:37:35,0.0,359.98,185.99,91.565,101.052,95.505,282.071,283.615,282.837,169.494,177.715,172.667,9.339399,9.821429,9.591444,156.15068,160.30232,158.29634,124.81006,128.27803,126.52352,74.78418078,92.98,8.7050784,1.27409499,5.17891452,0.75999539
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,168.26,91.249,100.952,95.29,314.392,315.935,315.158,136.857,145.267,140.132,9.30752,9.793083,9.562077,155.70526,159.96182,157.90614,124.91946,128.40477,126.63707,74.94861145,92.94,8.49316472,1.69860661,5.05431729,0.94453492
ISS_033RF_FMOVIE001_VIMS,0,17165,2006-11-25T16:52:47,0.0,359.98,179.52,291.974,301.277,296.567,349.381,350.949,350.171,301.628,310.332,306.395,10.039805,10.407507,10.172993,159.64995,160.813,160.27496,119.08481,122.61162,120.875626,75.12775345,95.36,10.86220039,1.54088473,5.56618902,0.75764719
ISS_036RF_FMOVIE001_VIMS,0,18000,2006-12-23T09:43:43,0.0,359.98,179.99,285.166,294.059,289.755,64.184,65.842,65.025,220.05,228.398,224.73,11.6990595,11.849619,11.772853,158.60165,160.99257,159.77655,122.643234,125.75914,124.279175,75.51264835,100.0,11.37300636,4.47034981,6.41851429,2.61947946
ISS_036RF_FMOVIE002_VIMS,0,16045,2007-01-05T14:31:59,0.0,359.98,188.2,247.911,260.815,255.458,99.827,101.331,100.585,148.049,159.484,154.872,10.175464,10.55741,10.362007,131.06834,135.70941,133.36766,143.63052,145.69357,144.77654,75.69550963,89.14,2.69687522,2.34502924,2.19939335,1.90494865
ISS_039RF_FMOVIE001_VIMS,0,18000,2007-02-27T07:18:39,0.0,359.98,179.99,194.775,210.735,203.659,242.128,243.89,243.032,312.547,326.844,320.626,10.153094,10.244501,10.194315,101.40309,108.09622,104.84227,143.66588,146.75105,145.32082,76.43975463,100.0,1.48795993,0.80803578,1.21979395,0.6532703
ISS_039RF_FMOVIE002_VIMS,0,16519,2007-02-10T11:47:11,0.0,359.98,187.53,241.768,256.004,248.984,196.727,198.291,197.515,45.04,57.712,51.469,10.221834,10.286767,10.254733,125.325714,131.16293,128.21074,146.7758,148.76643,147.93839,76.20085429,91.77,2.31893468,1.38689923,1.96352331,1.17246652
ISS_039RF_FMOVIE003_VIMS,0,3534,2007-02-11T15:43:11,74.0,144.66,109.33,263.066,268.266,265.966,199.87,200.182,200.032,62.884,68.084,65.934,10.106428,10.164152,10.132035,136.47511,137.8783,137.12779,143.36708,144.37376,143.94095,76.21102864,19.63,2.28725351,0.31607423,1.84892107,0.25471871
ISS_041RF_FMOVIE001_VIMS,0,15409,2007-03-31T09:35:11,44.0,352.16,198.08,172.644,182.944,179.771,328.792,330.203,329.508,203.776,212.741,210.262,11.851454,11.957434,11.862885,82.17428,85.65319,83.93725,128.18346,130.51265,129.40286,76.89618428,85.61,1.7404827,0.74013301,1.10168297,0.46039961
ISS_041RF_FMOVIE002_VIMS,0,18000,2007-03-17T03:49:19,0.0,359.98,179.99,205.117,218.116,211.895,290.34,292.038,291.198,274.507,286.078,280.697,10.416571,10.754052,10.593078,106.2098,111.87248,109.03365,143.60162,145.44048,144.57352,76.69391689,100.0,1.63493694,0.84599779,1.33129368,0.68609122
ISS_043RF_FMOVIE001_VIMS,0,17830,2007-04-18T03:26:39,0.0,359.98,178.65,177.702,188.013,183.671,16.706,18.374,17.556,160.341,169.75,166.116,12.0191,12.3239565,12.171745,83.66193,87.2821,85.4892,125.60197,127.63681,126.62634,77.15251569,99.06,1.76070157,0.7610403,1.05066813,0.45456402
ISS_044RF_FMOVIE001_VIMS,0,18000,2007-05-05T04:51:11,0.0,359.98,179.99,177.167,186.543,182.423,62.768,64.419,63.608,112.748,122.24,118.815,11.896049,12.359062,12.134912,80.24793,83.49156,81.87505,118.622215,120.1378,119.38524,77.39863725,100.0,2.02949998,0.70218421,0.99800749,0.3546326
ISS_051RI_LPMRDFMOV001_PRIME,0,15868,2007-10-18T21:11:11,0.0,359.98,186.72,144.592,191.619,168.072,152.847,154.102,153.474,0.01,359.99,25.397,17.603495,82.2806,24.28801,54.90006,57.00236,56.05161,93.992226,94.12555,94.05357,79.85007578,88.16,7.84327297,1.3258775,0.55410319,0.09161528
ISS_055RF_FMOVIE001_VIMS,0,16438,2007-12-31T15:47:27,24.94,353.68,189.31,166.878,175.333,170.948,352.059,353.575,352.818,174.283,181.858,178.129,9.031588,10.012331,9.510151,62.869984,67.78988,65.250145,122.048775,123.75632,122.88784,80.96044549,91.32,1.14561091,0.25242853,0.62234014,0.13884451
