Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std,Pandora Closest Distance,Pandora Closest Long,Pandora Distance,Pandora Long,Prometheus Closest Distance,Prometheus Closest Long,Prometheus Distance,Prometheus Long
ISS_234RF_FMOVIE001_PRIME,0,7862,2016-04-01T01:26:20,0.0,359.98,225.77,344.58,352.39,348.924,208.997,209.695,209.347,135.315,143.393,139.577,6.1100545,7.043911,6.463075,35.326946,39.73028,37.629047,68.87797,69.68037,69.27143,63.96443256,43.68,1.57227417,1.62812939,0.43990253,0.5532603,0.57638789,0.15707106,1051.178,157.017,NaN,NaN,590.747,265.791,NaN,NaN
ISS_234RI_EGAPMOVMP001_PRIME,0,15878,2016-04-07T23:05:00,0.0,359.98,164.85,263.88,283.56,270.429,227.634,229.04,228.334,34.84,55.0,42.096,13.082034,17.765932,13.641938,106.89472,110.06378,108.48497,74.101036,75.67508,74.836685,63.94114334,88.21,3.21957196,3.50538315,1.06972396,0.83864352,0.9165602,0.28093804,1045.941,93.234,1731.088,92.0,591.307,305.111,NaN,NaN
ISS_235RF_FMOVIE001_PRIME,0,15989,2016-05-01T13:42:20,0.0,359.98,162.34,0.015,359.995,5.756,291.386,292.828,292.112,65.607,75.779,71.865,8.450355,9.797398,9.021594,20.862438,26.41641,23.761667,64.953384,66.837,65.869156,63.86632767,88.83,1.30860448,1.49932342,0.62251873,0.53615109,0.61200633,0.25011345,1026.944,232.918,1912.954,236.9,594.381,69.625,596.375,69.66
ISS_235RF_FMOVIE002_PRIME_1,0,9186,2016-05-09T19:29:32,0.0,359.98,172.84,265.185,281.11,270.917,313.639,314.416,314.017,310.769,327.471,316.9,12.677799,14.446415,12.927529,104.742325,106.92084,105.85608,69.001465,70.36927,69.646614,63.84103711,51.03,2.37555014,2.74312856,1.37575403,0.82896275,0.95140968,0.46439839,1021.435,157.553,NaN,NaN,596.37,112.218,NaN,NaN
ISS_235RF_FMOVIE002_PRIME_2,0,8542,2016-05-10T02:30:52,0.0,359.98,169.09,76.045,87.295,85.236,314.429,315.169,314.815,120.876,132.766,130.42,15.410838,20.532999,16.485592,97.38935,99.060394,98.19658,68.625145,69.498184,69.050026,63.84406509,47.46,1.93087954,2.28664053,1.35851139,0.69090731,0.81564705,0.47543025,1021.433,157.555,NaN,NaN,596.468,115.497,NaN,NaN
ISS_236RF_FMOVIE002_PRIME,0,17980,2016-06-10T12:09:00,0.0,359.98,179.92,96.68,106.54,100.419,39.22,40.876,40.027,57.46,67.32,60.392,11.547909,12.236389,11.893952,94.95597,99.67166,97.32883,62.971207,65.874016,64.42,63.75267241,99.89,1.63821317,1.90221278,0.91916943,0.70375909,0.81763232,0.38571454,1003.334,227.727,1916.946,226.0,607.954,282.605,607.996,282.58
ISS_237RI_EGAPMOVMP001_PRIME,0,4502,2016-07-01T23:54:04,0.0,359.98,168.58,229.16,263.76,252.223,97.248,98.598,97.649,131.799,165.854,154.574,8.182882,23.752253,12.898057,127.52505,135.42613,132.96388,78.658295,83.99054,82.26515,63.69176183,25.01,-0.52077096,-4.48227293,13.68717229,-0.07080183,-0.59849958,1.67244846,992.887,30.683,1808.0,32.88,618.151,37.294,686.352,34.3
ISS_239RF_FMOVIE001_PRIME,0,17377,2016-08-02T13:36:28,0.0,359.98,174.57,146.81,152.465,150.752,182.496,184.084,183.297,322.726,329.924,327.455,9.80834,10.195449,9.98653,47.273117,53.583763,50.453987,40.94633,41.46487,41.084633,63.61705125,96.54,0.72143149,0.7739381,0.25733366,0.54380537,0.58336647,0.19404664,976.374,100.964,1244.933,100.46,628.85,204.42,875.657,203.3
ISS_239RF_FMOVIE002_PRIME_1,0,9193,2016-08-12T12:44:44,0.0,359.98,231.69,253.8,262.505,256.374,209.402,210.219,209.801,43.581,53.103,46.573,9.052434,9.449622,9.117723,112.996994,116.5951,114.79939,64.209656,67.16621,65.652176,63.59093806,51.07,2.25765696,2.30417424,0.3648034,0.92964408,0.94842564,0.14365315,969.855,8.271,1889.224,12.54,630.32,256.853,NaN,NaN
ISS_239RF_FMOVIE002_PRIME_2,0,6409,2016-08-12T20:09:32,0.0,359.98,231.21,73.04,80.345,78.621,210.236,210.811,210.526,222.243,230.056,228.095,9.884166,11.197221,10.207455,103.621315,105.95612,104.78161,63.087536,64.83276,63.953415,63.59363188,35.61,1.66040953,1.70535792,0.28322239,0.73016924,0.74924707,0.12781658,969.857,8.272,1069.048,8.66,630.429,260.13,NaN,NaN
ISS_239RI_HIRESAFRG001_PRIME_1,0,5143,2016-08-07T15:05:00,92.46,195.38,143.94,85.145,86.885,86.087,196.164,196.635,196.399,248.825,250.716,249.688,3.3018415,3.474798,3.3524125,74.974144,90.29974,82.516174,123.76395,134.97678,129.3936,63.6059267,28.57,1.12066001,1.141657,0.22809607,0.72138997,0.72673386,0.1661025,973.5,54.616,NaN,NaN,629.538,230.637,NaN,NaN
ISS_240RF_FMOVIE002_PRIME,0,10112,2016-08-23T01:03:56,0.0,359.98,231.68,238.635,257.7,245.789,237.791,238.641,238.204,0.014,359.994,7.62,8.04703,14.6343,8.419379,130.0208,134.64882,132.41927,77.31096,81.14055,79.237366,63.56779688,56.18,7.81798264,7.71051514,1.464668,1.40463509,1.41567387,0.17016228,963.899,275.585,NaN,NaN,631.442,312.559,NaN,NaN
ISS_241RF_FMOVIE001_PRIME,0,11198,2016-08-29T18:07:56,0.0,359.98,191.38,190.47,192.025,191.301,255.912,257.795,256.694,292.963,296.035,294.607,5.167997,5.626203,5.331191,10.818474,33.586044,24.167011,36.83636,53.29031,42.34346,63.55476414,62.21,0.76178266,0.85139696,0.36490835,0.56644699,0.61721266,0.23286417,959.108,211.87,NaN,NaN,631.224,348.602,NaN,NaN
ISS_242RF_FMOVIE001_PRIME,0,17991,2016-09-17T00:59:40,0.0,359.98,179.99,69.36,73.27,71.258,305.289,306.953,306.116,122.446,127.967,125.142,10.377032,11.727102,11.102226,107.60535,114.32128,110.96202,65.44092,70.582344,67.99107,63.51643725,99.95,2.2956725,2.45132311,0.72375991,0.86185178,0.91265679,0.24595632,947.032,43.914,1872.623,46.24,634.439,86.893,732.103,87.24
ISS_243RF_FMOVIE001_PRIME_2,0,7653,2016-09-22T17:06:36,106.72,267.82,188.91,335.93,339.04,337.464,320.604,321.338,320.963,14.757,18.344,16.502,5.0531354,5.5781736,5.3128533,40.17928,48.0632,44.3343,36.845634,38.811867,37.67676,63.50314247,42.52,0.70459684,0.74449052,0.26298346,0.55737824,0.58889316,0.20734417,943.428,351.798,NaN,NaN,635.514,116.377,1043.533,114.4
ISS_246RF_FMOVIE002_PRIME,0,17982,2016-10-27T16:29:48,0.0,359.98,179.96,105.875,110.615,108.282,55.043,56.705,55.877,49.581,55.453,52.405,9.804983,13.083691,11.218619,109.38069,116.7132,113.03644,63.738018,69.79213,66.74606,63.44396357,99.9,2.29068059,2.43611274,0.7856805,0.88906694,0.95468321,0.29671837,924.311,33.347,1995.012,31.56,650.582,303.133,657.891,302.98
ISS_253RF_FMOVIE001_PRIME_2,0,17989,2016-12-17T00:10:04,0.0,359.98,180.0,233.04,236.97,235.081,190.918,192.66,191.766,40.431,45.978,43.316,5.335937,6.9301267,6.1799417,110.22982,120.766426,116.05359,53.722088,64.058235,59.46311,63.36915224,99.94,2.03609985,2.13900112,0.53797532,1.01632251,1.07697658,0.24509219,896.09,290.267,1991.823,288.58,669.43,208.553,689.04,211.56
ISS_256RF_FMOVIE001_PRIME_1,0,9465,2017-01-07T17:49:47,0.0,359.98,123.23,233.13,236.81,235.563,249.611,250.475,250.046,342.655,347.065,345.517,5.5352883,6.3384356,5.940079,112.469666,118.05002,115.41421,55.420883,60.881496,58.30295,63.3439571,52.58,1.97518694,2.09582644,0.55612382,1.03153251,1.0973493,0.27731601,881.085,87.688,1528.291,92.64,672.314,326.521,NaN,NaN
ISS_256RF_FMOVIE001_PRIME_2,0,9429,2017-01-08T01:40:11,0.0,359.98,122.73,63.3,66.47,65.188,250.492,251.355,250.926,171.945,175.814,174.263,6.013364,6.9578905,6.4893384,97.66925,105.114975,101.576004,53.83233,58.78372,56.379795,63.34256752,52.38,1.41839285,1.51725896,0.43178692,0.7832784,0.83793045,0.23097619,881.083,87.686,1355.617,88.72,672.313,326.522,NaN,NaN
ISS_260RF_FMOVIE001_PRIME,0,18000,2017-02-05T04:25:31,0.0,359.98,179.99,238.03,242.32,240.95,326.41,328.061,327.241,269.969,275.892,273.709,5.253585,6.4639473,5.8988414,112.16535,122.0187,117.47524,54.494164,64.089775,59.689114,63.31564197,100.0,2.00312366,2.12469632,0.62957548,1.00733204,1.06101111,0.28634787,866.086,187.236,917.105,187.04,676.963,117.236,992.27,115.36
ISS_265RF_FMOVIE001_PRIME,0,5370,2017-03-12T00:02:03,20.12,346.28,208.99,225.37,234.19,231.682,60.424,61.043,60.76,164.796,173.749,170.922,7.941577,9.971021,8.363957,131.81166,134.44745,133.11665,72.479385,74.887436,73.66202,63.29112939,29.83,5.35201826,5.59565412,0.94773101,1.53222079,1.57140201,0.25844188,851.808,228.879,NaN,NaN,692.207,300.719,NaN,NaN
ISS_272RF_FMOVIE001_PRIME,0,9659,2017-05-01T01:44:27,0.0,359.98,184.5,235.77,244.85,238.355,195.629,196.49,196.049,39.874,49.221,42.306,5.9218273,7.347217,6.264807,133.5643,136.65662,135.12874,72.47775,75.52653,74.008446,63.27121472,53.66,6.24721835,6.39365828,0.99967082,1.74513019,1.76204353,0.29460924,824.703,131.507,NaN,NaN,711.21,209.432,NaN,NaN
ISS_274RF_FMOVIE001_PRIME,0,6312,2017-05-13T13:46:35,0.0,359.98,267.16,233.24,243.77,234.855,229.387,229.922,229.638,3.318,14.383,5.217,6.742183,8.852525,6.925754,138.36314,140.08406,139.2084,76.47431,78.154076,77.28341,63.2696397,35.07,9.08294063,9.36871362,1.30399588,2.02625583,2.06122761,0.29005988,815.159,15.694,NaN,NaN,712.72,274.975,NaN,NaN
ISS_274RF_FMOVIE002_PRIME,0,13996,2017-05-14T00:07:23,50.5,330.84,190.87,83.8,89.59,85.222,230.551,231.826,231.18,212.322,219.039,214.042,5.847055,9.26524,7.0542912,124.30075,130.2341,127.4948,69.680115,74.29074,72.15415,63.26926629,77.76,4.05855153,4.09639694,1.17672014,1.20044894,1.23787257,0.30633114,814.836,9.904,NaN,NaN,712.441,278.248,848.403,275.52
ISS_276RI_HIRESAFRG001_PRIME,0,3556,2017-05-28T01:29:31,0.0,359.98,250.43,60.74,235.5,154.36,268.508,268.838,268.671,151.902,326.992,245.688,3.0698972,4.376263,3.6899486,106.06402,120.46378,113.79931,55.721294,59.725403,57.89206,63.2676509,19.76,1.79775839,1.95060151,0.69619495,0.9494524,1.04156967,0.38546745,805.263,242.496,NaN,NaN,714.31,353.612,NaN,NaN
ISS_283RA_COMPLITA2001_CIRS,0,6083,2017-07-12T01:23:07,51.2,174.52,113.23,50.95,99.77,77.718,30.006,30.354,30.189,20.596,69.764,47.528,38.69239,54.339844,42.883022,116.737564,121.113976,119.117836,60.315117,63.838013,62.268707,63.27845796,33.79,1.82224522,1.88160221,0.43062233,0.83887581,0.87429112,0.19760572,787.086,191.201,NaN,NaN,727.928,232.778,NaN,NaN
ISS_289RF_FMOVIE001_PRIME,0,17989,2017-08-18T21:23:07,0.0,359.98,179.99,222.15,229.13,224.695,132.166,133.824,132.992,89.827,96.159,91.703,5.322594,7.1421647,6.075434,131.32793,136.96347,134.3444,68.29186,74.13256,71.40419,63.29941341,99.94,4.61133315,5.33136222,1.84948957,1.49498148,1.66872802,0.48210044,778.196,203.457,2056.21,205.86,745.182,72.662,NaN,NaN
ISS_292RF_FMOVIE001_PRIME,0,17940,2017-09-06T11:47:07,0.0,359.98,180.0,39.17,48.4,44.564,182.393,184.02,183.209,215.15,226.007,221.354,7.207598,9.082822,7.89169,138.14133,142.22586,140.25114,75.01581,78.931404,77.02224,63.31048407,99.67,9.16252407,9.2417373,2.20234831,1.97199845,2.05299672,0.44467454,768.318,35.345,785.721,35.44,751.309,170.986,924.66,171.88
