Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.3,90.04,87.67,267.773,272.513,270.139,354.9,354.9,354.9,272.872,277.612,275.238,9.444301,9.57365,9.508022,95.494156,95.51873,95.509415,138.18709,138.49492,138.34132,72.49087266,1.32,0.93449943,0.09554198,0.69819238,0.07144657,0.92875968,0.69383684,0.79499449,0.02472263,0.59286947,0.01878141,0.82484175,0.04103475,0.61604831,0.03171105,0.86399677,0.04984444,0.64552884,0.03784184,0.89447653,0.05984317,0.66833003,0.04507374,0.90567156,0.06395046,0.67669085,0.04806619
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.615,160.275,158.445,4.632,4.632,4.632,151.983,155.643,153.813,3.5631819,3.6334634,3.592733,163.7373,163.86621,163.79828,113.572334,113.91813,113.74441,72.45404641,1.02,16.65701668,1.34769842,6.70897872,0.56711535,16.22377864,6.5323713,15.02877424,0.18486823,6.01693515,0.07828567,15.22874863,0.28716327,6.10141718,0.12137713,15.61309536,0.45040567,6.26576241,0.19236244,15.98770874,0.70454143,6.42845029,0.30387221,16.21813041,0.92389769,6.52619544,0.395153
SENS_ISS_196RF_FMOVIE006_PRIME,0,334,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.29,174.127,174.127,174.127,121.826,128.506,125.163,14.890234,15.781025,15.334774,149.33333,149.40326,149.3722,129.9278,130.1635,130.04405,70.38770878,1.86,10.15255756,1.08395193,6.53265007,0.70445349,10.28868945,6.61485903,8.68856372,0.08365117,5.58285159,0.05244138,8.79248447,0.15081479,5.64908402,0.09576516,9.21727146,0.51688932,5.92450142,0.33435426,9.68505052,0.79820492,6.22854241,0.51814528,9.85732713,0.88799194,6.34064902,0.57683387
