Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.3,90.04,87.67,267.773,272.513,270.139,354.9,354.9,354.9,272.872,277.612,275.238,9.444292,9.573651,9.508022,95.494156,95.51872,95.5094,138.18712,138.49492,138.34131,72.49087266,1.32,0.93432419,0.09506912,0.69806177,0.07109732,0.92799043,0.69385062,0.7949587,0.02536196,0.59284256,0.01924213,0.82481536,0.0413145,0.61598936,0.03186465,0.86395456,0.04992987,0.64549947,0.03791019,0.89442169,0.0598807,0.66829402,0.04511028,0.90558424,0.06392216,0.67662586,0.04804929
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.615,160.275,158.445,4.632,4.632,4.632,151.983,155.643,153.813,3.5631828,3.633464,3.5927339,163.73732,163.86618,163.79828,113.572334,113.91813,113.74441,72.45404641,1.02,16.6351678,1.34523197,6.70017751,0.56609279,16.19627937,6.52246222,15.01083549,0.18236817,6.00949845,0.0769988,15.21459433,0.28882822,6.09577838,0.12212149,15.59459214,0.44640216,6.25819271,0.1905943,15.96564668,0.69840777,6.41953791,0.30134904,16.19787435,0.92268598,6.51803409,0.39464977
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.171,14.890238,15.781015,15.333669,149.33333,149.40326,149.37228,129.92781,130.16347,130.04434,70.38770878,1.85,10.15584014,1.08130062,6.53479752,0.70273383,10.28960363,6.62437694,8.68711812,0.08288023,5.58208873,0.05214983,8.79752591,0.15411728,5.65229684,0.09783276,9.22044079,0.51680336,5.92652297,0.33418577,9.68844705,0.79620511,6.23075113,0.51682963,9.86584189,0.88829366,6.34618315,0.57701389
