Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.224,9.444292,9.573651,9.50763,95.494156,95.51872,95.509445,138.18501,138.49492,138.34035,72.49087266,1.31,0.93258647,0.09477607,0.69675308,0.07087306,0.92792384,0.69422784,0.79354422,0.02487912,0.59171199,0.01879668,0.82408309,0.04188447,0.61542747,0.03232574,0.86253318,0.04975568,0.64442473,0.03780087,0.89347584,0.06028755,0.66758783,0.04543639,0.90425586,0.0641819,0.67564052,0.04827567
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.562604,3.633464,3.5925708,163.73732,163.86618,163.79834,113.572334,113.91957,113.74535,72.45404641,1.03,16.90091068,1.33889209,6.8074324,0.56395536,16.48531527,6.63809757,15.25469256,0.20323365,6.10721942,0.08515786,15.45773125,0.29864021,6.19315713,0.12580414,15.86214913,0.47004822,6.36555205,0.20017201,16.23173892,0.70223967,6.52661668,0.30328045,16.46644665,0.91671186,6.6264213,0.39282944
SENS_ISS_196RF_FMOVIE006_PRIME,0,332,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.309,174.127,174.127,174.127,121.826,128.506,125.181,14.890238,15.781015,15.332338,149.33333,149.40326,149.37239,129.92781,130.16347,130.0447,70.38770878,1.84,10.18062146,1.0833725,6.5507853,0.70403911,10.31506217,6.64453173,8.70229671,0.07815261,5.59172419,0.04933099,8.81425058,0.15613609,5.66319834,0.09952676,9.24794367,0.52586062,5.94451973,0.34052692,9.7179721,0.80318322,6.24981966,0.52130061,9.88956032,0.89025325,6.36149971,0.5782635
