Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.224,9.444292,9.573651,9.50763,95.494156,95.51872,95.509445,138.18501,138.49492,138.34035,72.49087266,1.31,0.9325622,0.09459116,0.69673499,0.07073582,0.92777286,0.6932573,0.79364306,0.02476465,0.59178564,0.01871085,0.82423662,0.04188783,0.61555466,0.03234474,0.86259045,0.04966811,0.64445951,0.03772598,0.89345288,0.06016969,0.66756866,0.04534644,0.90423406,0.06408715,0.67562408,0.04820526
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.562604,3.633464,3.5925708,163.73732,163.86618,163.79834,113.572334,113.91957,113.74535,72.45404641,1.03,16.90733017,1.33907572,6.81001633,0.56404015,16.47029859,6.6355119,15.26934817,0.17884124,6.11303864,0.07543592,15.47550532,0.29594114,6.20024938,0.12487752,15.86888435,0.45905233,6.36826322,0.19577742,16.23467145,0.69472194,6.52789705,0.30057746,16.47285601,0.91834381,6.62899891,0.3934694
SENS_ISS_196RF_FMOVIE006_PRIME,0,332,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.309,174.127,174.127,174.127,121.826,128.506,125.181,14.890238,15.781015,15.332338,149.33333,149.40326,149.37239,129.92781,130.16347,130.0447,70.38770878,1.84,10.17770862,1.08242957,6.54891098,0.70343501,10.31433731,6.64460375,8.70050267,0.07766249,5.59070894,0.04921921,8.81254751,0.1558324,5.66210304,0.09926726,9.24562959,0.5248663,5.94302771,0.3398806,9.71494345,0.80172444,6.24787739,0.52037413,9.88688826,0.88962356,6.35978095,0.57786176
