Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.224,9.444292,9.573651,9.50763,95.494156,95.51872,95.509445,138.18501,138.49492,138.34035,72.49087266,1.31,0.93216057,0.093944,0.69643531,0.07025761,0.92735989,0.69377822,0.79371847,0.02520501,0.59184156,0.01903584,0.82416294,0.04189799,0.6154429,0.03228044,0.86248119,0.04967165,0.64438576,0.03774103,0.89332427,0.06011807,0.66746653,0.04530246,0.90402395,0.06393113,0.67545879,0.04808048
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.562604,3.633464,3.5925708,163.73732,163.86618,163.79834,113.572334,113.91957,113.74535,72.45404641,1.03,16.88503961,1.32935732,6.80101455,0.55996797,16.46255925,6.62633482,15.26230027,0.18157209,6.11040613,0.0767344,15.47477973,0.30050878,6.20005507,0.12681532,15.86024081,0.4541315,6.36508842,0.19402665,16.21533739,0.67726156,6.51998099,0.29305565,16.45162682,0.90342145,6.62042898,0.38730973
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.171,14.890238,15.781015,15.333669,149.33333,149.40326,149.37228,129.92781,130.16347,130.04434,70.38770878,1.85,10.16943909,1.0826657,6.5435464,0.70360592,10.29575156,6.63523189,8.69525549,0.08051188,5.5873744,0.05097455,8.80702657,0.1557234,5.65845615,0.09900765,9.23257532,0.51744458,5.93449214,0.33495686,9.70211796,0.79883031,6.23952833,0.51847705,9.87892949,0.88952486,6.3546166,0.57781851
