Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.102,354.9,354.9,354.9,272.872,277.572,275.202,9.444292,9.572525,9.507041,95.4945,95.518616,95.50955,138.18712,138.49236,138.33894,72.49087265,1.31,0.92729087,0.08782935,0.69278582,0.06572646,0.93130373,0.69679823,0.78244527,0.02648907,0.58335989,0.01985418,0.81224401,0.04524586,0.60631377,0.03459932,0.8592598,0.05566822,0.64196766,0.04229327,0.89119233,0.06365389,0.66592633,0.04805878,0.90055252,0.0663566,0.67285874,0.04993528
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633862,3.6323278,3.5925705,163.7379,163.86458,163.79794,113.57606,113.916214,113.74535,72.45404677,1.03,16.63092142,1.34337124,6.69870162,0.56519856,16.17669788,6.50830146,15.00436537,0.19120291,6.00756543,0.08110703,15.20458608,0.28204596,6.09125928,0.1184527,15.58177949,0.43622125,6.25444993,0.18799478,15.91668365,0.64763048,6.39883231,0.27957128,16.16462342,0.8872879,6.50435087,0.37985527
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,295.994,302.594,299.294,174.127,174.127,174.127,121.866,128.466,125.166,14.8956375,15.775226,15.334323,149.3336,149.40312,149.37222,129.9297,130.1618,130.04416,70.38770878,1.86,10.13288173,1.06730442,6.52000113,0.6937764,10.30943736,6.6392044,8.66886554,0.08082533,5.5704258,0.05088312,8.77403045,0.15559325,5.6374428,0.09911406,9.1957759,0.51129145,5.91080856,0.3310724,9.66963811,0.7902491,6.21864961,0.51308597,9.82553049,0.87205246,6.32015733,0.56665439
