Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.3,90.04,87.67,267.773,272.513,270.139,354.9,354.9,354.9,272.872,277.612,275.238,9.444292,9.573651,9.508022,95.494156,95.51872,95.5094,138.18712,138.49492,138.34131,72.49087266,1.32,0.93468098,0.09599695,0.69832794,0.07178476,0.92871288,0.6945116,0.79499778,0.02474032,0.59287171,0.01878725,0.82488625,0.04108733,0.61607856,0.03174526,0.86415463,0.04995889,0.64564085,0.03791988,0.89449587,0.05975559,0.66834735,0.04501334,0.90568237,0.06387757,0.67670081,0.04801512
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.615,160.275,158.445,4.632,4.632,4.632,151.983,155.643,153.813,3.5631828,3.633464,3.5927339,163.73732,163.86618,163.79828,113.572334,113.91813,113.74441,72.45404641,1.02,16.71323327,1.34058732,6.73159804,0.56427066,16.29068914,6.5539167,15.10010108,0.17786049,6.04548643,0.07538385,15.30333852,0.2894528,6.13135218,0.12234992,15.67502012,0.43755818,6.29076451,0.18734381,16.04673987,0.69225652,6.45236088,0.29941716,16.27380346,0.90803951,6.54855385,0.38882501
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.171,14.890238,15.781015,15.333669,149.33333,149.40326,149.37228,129.92781,130.16347,130.04434,70.38770878,1.85,10.16324255,1.08178019,6.5395594,0.7030385,10.30389644,6.62976951,8.69486039,0.08242233,5.58698176,0.0518804,8.80396393,0.15354627,5.65651351,0.0976079,9.22796018,0.5167427,5.93148257,0.33439279,9.69567138,0.79627361,6.23539559,0.51685928,9.87258032,0.88765907,6.35052039,0.57660227
