Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.102,354.9,354.9,354.9,272.872,277.572,275.202,9.444313,9.572523,9.507041,95.4945,95.51861,95.50955,138.18709,138.49234,138.33894,72.49087264,1.31,0.93308478,0.09366004,0.69710833,0.07002129,0.92802094,0.69308736,0.79787249,0.02508246,0.59486167,0.01881363,0.82261217,0.03867055,0.61426624,0.02996507,0.86396392,0.04870287,0.64554191,0.03706767,0.89468833,0.05879428,0.66847416,0.04429843,0.90342419,0.0614034,0.67503024,0.046233
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,38,2013-02-13T19:24:13,36.5,40.2,38.35,156.535,160.235,158.385,4.632,4.632,4.632,151.903,155.603,153.753,0.0,3.6323254,3.4980268,0.0,163.86456,159.48746,0.0,113.91622,110.75206,72.45404677,1.06,16.63637015,1.33401744,6.9719556,1.77918068,16.25949505,6.54947895,14.96820204,0.1613938,5.99127207,0.06766747,15.20602977,0.2979364,6.09263684,0.12650449,15.58603158,0.43524071,6.25533778,0.1865755,15.94552157,0.67560048,6.41705538,0.30365497,16.19018978,0.90887302,6.53240022,0.41902046
SENS_ISS_196RF_FMOVIE006_PRIME,0,68,2013-08-28T21:35:25,178.0,184.7,181.35,295.894,302.594,299.244,174.127,174.127,174.127,121.766,128.466,125.116,14.895623,15.791244,15.341044,149.3336,149.40314,149.37175,129.92314,130.1618,130.04239,70.38770878,1.89,10.17255633,1.09067449,6.54531856,0.70902266,10.3142302,6.63650092,8.71568786,0.06425555,5.60052832,0.04214619,8.82610363,0.14570433,5.67055484,0.09280682,9.23279582,0.50649621,5.93387098,0.32719475,9.70074191,0.7917486,6.23822882,0.51390824,9.85540234,0.87474938,6.33895862,0.56826777
