Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,38,2012-10-18T14:57:01,123.14,123.88,123.51,223.39,224.13,223.76,45.502,45.502,45.502,177.888,178.628,178.258,2.94313,2.9475296,2.9455633,2.136e-05,2.155e-05,2.147e-05,73.562515,73.736595,73.64885,41.530136,41.670868,41.60112,73.79691865,0.21,1.37564844,1.48785473,0.28269587,1.02868989,1.11270109,0.21195863
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.3,90.04,87.66,267.925,272.665,270.289,354.901,354.901,354.901,273.024,277.764,275.388,9.444288,9.57365,9.507968,8.434e-05,8.616e-05,8.531e-05,95.49414,95.51873,95.50942,138.18712,138.4949,138.34117,72.49087266,1.31,0.92919937,0.93495121,0.09649834,0.69424445,0.69852954,0.07216835
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.58,160.24,158.41,4.633,4.633,4.633,151.947,155.607,153.777,3.5631833,3.6334643,3.5927339,6.247e-05,6.413e-05,6.335e-05,163.7373,163.86621,163.7983,113.572334,113.91813,113.74441,72.45404641,1.02,16.15647073,16.6120807,1.34676483,6.50302905,6.69088136,0.5666572
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.08,184.74,181.42,296.08,302.74,299.416,174.128,174.128,174.128,121.952,128.612,125.288,14.890238,15.777896,15.332238,0.00012662,0.00013009,0.00012848,149.33333,149.40326,149.37239,129.92903,130.16348,130.04472,70.38770878,1.85,10.27133761,10.14441097,1.08348767,6.61527588,6.52749653,0.70412606
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,100,2016-03-10T00:10:36,37.16,39.14,38.15,112.535,114.515,113.525,149.449,149.449,149.449,323.086,325.066,324.076,2.346364,2.4627578,2.403515,4.489e-05,4.579e-05,4.536e-05,85.44363,85.46892,85.452225,109.736404,109.991615,109.86328,64.04443632,0.56,2.94979546,2.87484564,0.39592709,0.99767254,0.97651762,0.13278449
