Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.125,354.9,354.9,354.9,272.852,277.612,275.224,9.444292,9.573651,9.507649,95.494156,95.51872,95.509445,138.18501,138.49492,138.34041,72.49087266,1.32,0.93279502,0.09473336,0.69690955,0.07084193,0.92958268,0.69501207,0.79322733,0.0247039,0.59147533,0.01866668,0.82383727,0.04190647,0.61521393,0.03230808,0.86237498,0.04988795,0.64429534,0.03788632,0.8934492,0.06049149,0.66756436,0.0455851,0.90458783,0.06439991,0.67588802,0.0484371
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.562604,3.633464,3.5925708,163.73732,163.86618,163.79834,113.572334,113.91957,113.74535,72.45404641,1.03,16.90342429,1.33576701,6.80843791,0.56269851,16.46786863,6.62934028,15.27862604,0.17542055,6.11694447,0.074587,15.48248178,0.29078692,6.20286759,0.12262487,15.86578562,0.44790525,6.36709714,0.19150477,16.23266393,0.69098355,6.52695876,0.29882766,16.46953728,0.91328056,6.62765865,0.39147118
SENS_ISS_196RF_FMOVIE006_PRIME,0,332,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.309,174.127,174.127,174.127,121.826,128.506,125.181,14.890238,15.781015,15.332338,149.33333,149.40326,149.37239,129.92781,130.16347,130.0447,70.38770878,1.84,10.17866503,1.08242657,6.54952672,0.70343725,10.32187846,6.64204155,8.70146591,0.07740694,5.59136692,0.04915796,8.81318732,0.15530084,5.6625534,0.09907019,9.246647,0.52522692,5.94367227,0.3400879,9.7160503,0.80191483,6.24860495,0.5205301,9.8879578,0.88969453,6.36046944,0.57791344
