Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,7,2012-10-18T14:57:01,123.2,123.8,123.5,223.45,224.05,223.75,45.502,45.502,45.502,177.948,178.548,178.248,2.9436126,2.9474328,2.9456522,2.139e-05,2.153e-05,2.146e-05,73.57301,73.719406,73.64633,41.54434,41.6545,41.599346,73.79691863,0.19,1.41620101,1.47837789,0.26073625,1.05904405,1.1056382,0.19555473
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.925,272.625,270.255,354.901,354.901,354.901,273.024,277.724,275.353,9.444301,9.572524,9.507041,8.436e-05,8.616e-05,8.532e-05,95.4945,95.51861,95.50955,138.18709,138.49234,138.33894,72.49087265,1.31,0.93278897,0.92749783,0.08729994,0.69643695,0.69293884,0.06531601
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.6,160.2,158.4,4.633,4.633,4.633,151.967,155.567,153.767,3.5633852,3.6323266,3.5925698,6.248e-05,6.412e-05,6.335e-05,163.73792,163.86458,163.79794,113.57605,113.916214,113.74535,72.45404677,1.03,16.18830983,16.62466967,1.34350955,6.52022899,6.69620129,0.56536211
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,296.1,302.7,299.4,174.128,174.128,174.128,121.972,128.572,125.272,14.895628,15.775223,15.334323,0.00012664,0.00013005,0.00012847,149.33362,149.40312,149.37222,129.9297,130.1618,130.04417,70.38770878,1.86,10.32596202,10.13947663,1.07009903,6.65619794,6.52424492,0.69556415
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,20,2016-03-10T00:10:36,37.2,39.1,38.15,112.575,114.475,113.525,149.449,149.449,149.449,323.126,325.026,324.076,2.3488796,2.460141,2.4035153,4.49e-05,4.578e-05,4.536e-05,85.44557,85.46152,85.45213,109.74161,109.986,109.86324,64.04443632,0.56,2.95272674,2.87271786,0.39055942,0.99922092,0.97579287,0.13091577
