Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,46,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.105,354.9,354.9,354.9,272.872,277.572,275.205,9.444313,9.572523,9.507127,95.4945,95.51861,95.509514,138.18709,138.49234,138.33913,72.49087264,1.28,0.92683269,0.08902132,0.69243934,0.06655396,0.92513098,0.69138048,0.78639687,0.01840697,0.58627464,0.01381449,0.81950713,0.03954452,0.61183064,0.03047362,0.86252355,0.05073779,0.64446719,0.03861517,0.88989751,0.05796187,0.66489571,0.04369565,0.90124532,0.06177875,0.67336441,0.04645709
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633836,3.6323254,3.592568,163.7379,163.86456,163.79796,113.57605,113.91622,113.74535,72.45404677,1.03,16.62881626,1.34197112,6.69786201,0.56475273,16.18987484,6.52380587,14.99265855,0.2417867,6.00107504,0.09967692,15.23642236,0.33525393,6.10482154,0.14099499,15.58151594,0.43574344,6.25234768,0.1858436,15.90533738,0.61422025,6.39425285,0.26650059,16.16302207,0.88889581,6.50371497,0.38061425
SENS_ISS_196RF_FMOVIE006_PRIME,0,66,2013-08-28T21:35:25,178.1,184.7,181.44,295.994,302.594,299.336,174.127,174.127,174.127,121.866,128.466,125.209,14.895623,15.775226,15.328658,149.3336,149.40314,149.3727,129.92969,130.1618,130.04565,70.38770878,1.83,10.16993052,1.08177363,6.54403487,0.70302214,10.27698694,6.61531897,8.66643356,0.095959,5.56935118,0.06089086,8.79451061,0.16569169,5.65046112,0.10480322,9.24797239,0.52841525,5.94430387,0.34147005,9.69513843,0.7895599,6.23527171,0.51265414,9.87729225,0.88267985,6.35376937,0.57346125
