Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,238,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.223,9.444366,9.573644,9.507611,95.49414,95.51872,95.50946,138.18494,138.4949,138.34032,72.49087266,1.32,0.75045061,0.05706657,0.56069607,0.04300166,0.75352639,0.56304034,0.64902704,0.01775083,0.4839438,0.01328575,0.67133821,0.03199139,0.50093117,0.02433335,0.70695946,0.04228264,0.52796599,0.03210716,0.7278087,0.0458875,0.54368736,0.03473578,0.7357915,0.04828457,0.54971042,0.03652727
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.44,4.632,4.632,4.632,151.963,155.643,153.808,3.5625653,3.6334598,3.5926554,163.7373,163.86618,163.79852,113.57229,113.91957,113.74489,72.45404641,1.02,12.52449321,0.89720876,5.04438478,0.3787876,12.26443024,4.93717343,11.48625505,0.09720271,4.59795134,0.04114162,11.59515483,0.15778444,4.64483151,0.06741438,11.83585998,0.2775055,4.74974156,0.1207344,12.10311031,0.46933159,4.86665438,0.20515399,12.23795538,0.57885365,4.92503256,0.25196384
SENS_ISS_196RF_FMOVIE006_PRIME,0,334,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.302,174.127,174.127,174.127,121.826,128.506,125.175,14.890174,15.781227,15.333219,149.33333,149.40327,149.37231,129.92757,130.16351,130.04446,70.38770878,1.86,9.81475822,1.2395224,6.31551227,0.80467301,9.56385418,6.14405554,8.2695583,0.11715155,5.31280649,0.07621465,8.37889267,0.16712863,5.38357277,0.10826461,8.71948894,0.39974959,5.60428409,0.25863442,9.25552256,0.85790484,5.95264822,0.55745986,9.46450247,0.99083055,6.08833205,0.64365339
