Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,235,2013-02-10T04:54:21,85.3,90.04,87.66,267.773,272.513,270.136,354.9,354.9,354.9,272.872,277.612,275.235,9.444313,9.57365,9.507947,95.49414,95.51873,95.509415,138.18709,138.4949,138.34111,72.49087266,1.31,0.93348137,0.09493856,0.69743104,0.07100863,0.92682363,0.69343242,0.79454319,0.02567018,0.59253666,0.01948731,0.82346485,0.04138375,0.61485701,0.0317814,0.86325135,0.05009751,0.64495166,0.03803198,0.89373278,0.05994399,0.66779278,0.0451894,0.90473091,0.06411051,0.67598739,0.04820506
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,183,2013-02-13T19:24:13,36.58,40.24,38.42,156.615,160.275,158.451,4.632,4.632,4.632,151.983,155.643,153.818,3.5631802,3.6334617,3.5928354,163.7373,163.8662,163.79846,113.572334,113.91811,113.743904,72.45404641,1.02,16.60522056,1.33634925,6.68796253,0.56233954,16.1954635,6.5102809,14.97777726,0.17590926,5.99701801,0.07447462,15.17547091,0.29164294,6.08077878,0.12375915,15.5715461,0.45432149,6.24917566,0.19364213,15.93977862,0.69318455,6.40887585,0.29879419,16.16652397,0.90710213,6.50520737,0.38812306
SENS_ISS_196RF_FMOVIE006_PRIME,0,334,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.172,14.89023,15.781044,15.333581,149.33333,149.40327,149.37227,129.92776,130.16348,130.04436,70.38770878,1.86,10.1440366,1.08371416,6.52721029,0.7042895,10.27802638,6.61482771,8.66985927,0.08152302,5.57095901,0.05150451,8.78640604,0.16435563,5.6451825,0.10449408,9.20674045,0.51805873,5.91774109,0.33510522,9.67748964,0.80149464,6.22368511,0.52020423,9.85013733,0.8910449,6.33610535,0.57886048
