Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.102,354.9,354.9,354.9,272.872,277.572,275.202,9.444301,9.572524,9.507041,95.4945,95.51861,95.50955,138.18709,138.49234,138.33894,72.49087265,1.31,0.92963665,0.0883034,0.69453265,0.06602584,0.93367479,0.6966032,0.79268375,0.02419717,0.59099317,0.01815666,0.81934239,0.04039162,0.6118285,0.03127656,0.86276863,0.05130465,0.64465467,0.03902224,0.89282761,0.05927913,0.66710611,0.04469695,0.90148728,0.06175481,0.67355929,0.04646726
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633852,3.6323266,3.5925698,163.73792,163.86458,163.79794,113.57605,113.916214,113.74535,72.45404677,1.03,16.65507909,1.33083102,6.70843652,0.56047577,16.23557374,6.53751019,14.9887339,0.14241334,5.99948351,0.05980198,15.24753183,0.32238896,6.10927106,0.13610318,15.61303528,0.43983447,6.26512009,0.18758388,15.94977246,0.64546157,6.4121524,0.27921987,16.19588603,0.88177603,6.51694584,0.37810518
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,295.994,302.594,299.294,174.127,174.127,174.127,121.866,128.466,125.166,14.895628,15.775223,15.334323,149.33362,149.40312,149.37222,129.9297,130.1618,130.04417,70.38770878,1.86,10.16782637,1.09527562,6.54250111,0.71179323,10.3025888,6.62659524,8.66847152,0.08958468,5.57016564,0.05597057,8.77508506,0.15794255,5.63811745,0.1005079,9.2087534,0.51730996,5.91901884,0.33474465,9.69552827,0.80953326,6.23532011,0.52554058,9.8510979,0.88725527,6.3364271,0.57615712
