Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,8,2012-10-18T14:57:01,123.1,123.8,123.45,223.35,224.05,223.7,45.502,45.502,45.502,177.848,178.548,178.198,2.9436145,2.9474347,2.945847,2.134e-05,2.153e-05,2.145e-05,73.55803,73.719406,73.63529,41.51876,41.6545,41.58927,73.79691862,0.22,1.37081645,1.48209141,0.27072878,1.02576198,1.10857947,0.20297708
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.925,272.625,270.255,354.901,354.901,354.901,273.024,277.724,275.353,9.444288,9.572525,9.507043,8.436e-05,8.616e-05,8.532e-05,95.4945,95.518616,95.50955,138.18712,138.49234,138.33894,72.49087265,1.31,0.92904146,0.93212188,0.09174084,0.69382095,0.69638936,0.06859379
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,38,2013-02-13T19:24:13,36.5,40.2,38.35,156.5,160.2,158.35,4.633,4.633,4.633,151.867,155.567,153.717,-999.0,3.6323278,-22.791447,-999.0,6.412e-05,-26.289413,-57238.48,163.86456,-1346.7883,-57238.48,113.916214,-1395.5238,72.45404677,1.06,16.47928846,16.89977201,1.32721659,6.63440399,7.07611888,1.74442818
SENS_ISS_196RF_FMOVIE006_PRIME,0,68,2013-08-28T21:35:25,178.0,184.7,181.35,296.0,302.7,299.35,174.128,174.128,174.128,121.872,128.572,125.222,14.895639,15.791219,15.341042,0.0001263,0.00013005,0.00012844,149.3336,149.40312,149.37175,129.92317,130.1618,130.04239,70.38770878,1.89,10.33525785,10.20188472,1.09691492,6.65094498,6.56418865,0.71302153
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,21,2016-03-10T00:10:36,37.1,39.1,38.1,112.475,114.475,113.475,149.449,149.449,149.449,323.026,325.026,324.026,2.3423288,2.4601269,2.4006028,4.49e-05,4.578e-05,4.534e-05,85.44579,85.485504,85.453735,109.74162,110.00035,109.8698,64.04443631,0.58,2.95877401,2.862644,0.40370667,1.00064733,0.97263956,0.13527042
