Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.3,90.04,87.66,267.773,272.513,270.137,354.9,354.9,354.9,272.872,277.612,275.236,9.444313,9.57365,9.507966,95.49414,95.51873,95.509415,138.18709,138.4949,138.34116,72.49087266,1.31,0.93637849,0.10049332,0.69959562,0.07514702,0.92996115,0.6950372,0.79500371,0.02844095,0.59288992,0.02146814,0.82273505,0.04091055,0.6142788,0.03135087,0.86387875,0.05130776,0.64544569,0.03894117,0.89516676,0.06171126,0.66884653,0.04646602,0.90650367,0.06605283,0.67731485,0.0496474
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.615,160.275,158.445,4.632,4.632,4.632,151.983,155.643,153.813,3.5631802,3.6334617,3.5927312,163.7373,163.8662,163.79828,113.572334,113.91811,113.74441,72.45404641,1.02,16.6145111,1.35371267,6.69186055,0.56931886,16.17946513,6.50985725,14.96302814,0.21060932,5.99148067,0.08858821,15.1754409,0.30904759,6.08075043,0.13012618,15.55217418,0.4492364,6.24185243,0.19172007,15.93890579,0.70775005,6.40900722,0.30519117,16.17566768,0.93701059,6.50929908,0.40046313
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.296,174.127,174.127,174.127,121.826,128.506,125.169,14.89023,15.781044,15.334037,149.33333,149.40327,149.37225,129.92776,130.16348,130.04424,70.38770878,1.85,10.1477866,1.08470302,6.52960961,0.70495807,10.25876138,6.59516924,8.69163625,0.0799469,5.5849693,0.05183727,8.80110416,0.15159041,5.65476998,0.09683017,9.20813754,0.50476619,5.91857243,0.32651728,9.67356525,0.7868491,6.22112751,0.51078618,9.85414267,0.88580819,6.33865434,0.5754698
