Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.224,9.444292,9.573651,9.50763,95.494156,95.51872,95.509445,138.18501,138.49492,138.34035,72.49087266,1.31,0.93258629,0.09478779,0.69675295,0.07088176,0.9279859,0.694097,0.79351109,0.0248286,0.59168724,0.01875783,0.82412776,0.04193133,0.61545504,0.03235456,0.86252477,0.04973718,0.64441851,0.03778836,0.89343868,0.06024663,0.66756013,0.04540679,0.90421485,0.0641452,0.6756099,0.04824874
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.562604,3.633464,3.5925708,163.73732,163.86618,163.79834,113.572334,113.91957,113.74535,72.45404641,1.03,16.89951623,1.33984637,6.80687058,0.56431534,16.48704416,6.63618589,15.24588919,0.20030505,6.10372178,0.08402071,15.458559,0.3085442,6.19349374,0.12982901,15.86034231,0.47078549,6.36481746,0.20043683,16.22875978,0.70049245,6.52540412,0.30250629,16.46503185,0.91869158,6.62585173,0.39356948
SENS_ISS_196RF_FMOVIE006_PRIME,0,332,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.309,174.127,174.127,174.127,121.826,128.506,125.181,14.890238,15.781015,15.332338,149.33333,149.40326,149.37239,129.92781,130.16347,130.0447,70.38770878,1.84,10.18063832,1.08312507,6.55079635,0.70388328,10.31772259,6.64651395,8.70240979,0.07794353,5.59191668,0.04933601,8.81359152,0.15541339,5.66277434,0.09902647,9.2482965,0.52658899,5.94472959,0.34096351,9.71786614,0.80278671,6.24977268,0.52108576,9.88980049,0.89041526,6.36165467,0.57837289
