Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,38,2012-10-18T14:57:01,123.14,123.88,123.51,223.39,224.13,223.76,45.502,45.502,45.502,177.888,178.628,178.258,2.9431283,2.947528,2.945562,2.136e-05,2.155e-05,2.147e-05,73.56261,73.73646,73.64886,41.530064,41.67097,41.60112,73.79691865,0.21,1.36330827,1.49111199,0.28410822,1.01946204,1.11514087,0.21303691
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.28,90.04,87.65,267.905,272.665,270.277,354.901,354.901,354.901,273.004,277.764,275.376,9.444301,9.57365,9.507649,8.434e-05,8.623e-05,8.531e-05,95.494156,95.51873,95.509445,138.185,138.49492,138.34041,72.49087266,1.32,0.92977099,0.93294719,0.09512846,0.69551209,0.69702296,0.07113382
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.56,160.24,158.4,4.633,4.633,4.633,151.927,155.607,153.767,3.5626016,3.6334634,3.5925698,6.247e-05,6.413e-05,6.335e-05,163.7373,163.86621,163.79831,113.572334,113.91956,113.74535,72.45404641,1.03,16.3671717,16.75538621,1.3497179,6.58846517,6.7488503,0.56811697
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,296.06,302.74,299.405,174.128,174.128,174.128,121.932,128.612,125.277,14.890234,15.781025,15.333669,0.00012656,0.00013009,0.00012848,149.33333,149.40326,149.37228,129.9278,130.1635,130.04434,70.38770878,1.85,10.28744183,10.16218917,1.08441607,6.62759317,6.53888463,0.70474166
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,100,2016-03-10T00:10:36,37.16,39.14,38.15,112.535,114.515,113.525,149.449,149.449,149.449,323.086,325.066,324.076,2.346356,2.4627736,2.4035137,4.489e-05,4.579e-05,4.536e-05,85.44341,85.469055,85.45221,109.7364,109.99163,109.86328,64.04443632,0.56,2.95366041,2.8826603,0.39286406,0.99960451,0.97917792,0.13176228
