Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,37,2012-10-18T14:57:01,123.14,123.88,123.5,223.515,224.255,223.879,45.502,45.502,45.502,178.013,178.753,178.377,2.9431283,2.947528,2.945602,2.136e-05,2.155e-05,2.146e-05,73.56261,73.73646,73.64735,41.530064,41.67097,41.599976,73.79691865,0.21,1.41773438,1.49926024,0.28467589,1.06019071,1.12124867,0.2134306
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.3,90.04,87.66,267.8,272.54,270.164,354.901,354.901,354.901,272.899,277.639,275.263,9.444301,9.57365,9.507968,8.434e-05,8.616e-05,8.531e-05,95.494156,95.51873,95.509415,138.18709,138.49492,138.34117,72.49087266,1.31,0.93134216,0.9358608,0.09706321,0.69557775,0.69920919,0.0725899
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.58,40.24,38.41,156.705,160.365,158.535,4.633,4.633,4.633,152.072,155.732,153.902,3.5631819,3.6334634,3.592733,6.247e-05,6.413e-05,6.335e-05,163.7373,163.86621,163.79828,113.572334,113.91813,113.74441,72.45404641,1.02,16.17591283,16.61398614,1.34131198,6.51248108,6.69164075,0.56446274
SENS_ISS_196RF_FMOVIE006_PRIME,0,334,2013-08-28T21:35:25,178.06,184.74,181.41,296.06,302.74,299.406,174.128,174.128,174.128,121.932,128.612,125.278,14.890234,15.781025,15.333581,0.00012656,0.00013009,0.00012848,149.33333,149.40326,149.3723,129.9278,130.1635,130.04436,70.38770878,1.86,10.26901335,10.14328402,1.08441868,6.61428821,6.52672657,0.70474409
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,100,2016-03-10T00:10:36,37.16,39.14,38.15,112.535,114.515,113.525,149.449,149.449,149.449,323.086,325.066,324.076,2.346356,2.4627736,2.4035137,4.489e-05,4.579e-05,4.536e-05,85.44341,85.469055,85.45221,109.7364,109.99163,109.86328,64.04443632,0.56,2.95465796,2.87846661,0.40033161,0.99871973,0.97774607,0.1342908
