Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.102,354.9,354.9,354.9,272.872,277.572,275.202,9.444313,9.572523,9.507041,95.4945,95.51861,95.50955,138.18709,138.49234,138.33894,72.49087264,1.31,0.92681166,0.08574086,0.69242608,0.0641553,0.92974624,0.69430573,0.78756563,0.02525821,0.5871772,0.01893581,0.81673028,0.04394117,0.60946829,0.03334998,0.85982808,0.05235602,0.64244632,0.03988546,0.89145836,0.06154676,0.66610834,0.04645794,0.90030885,0.06394481,0.67267485,0.04812761
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633836,3.6323254,3.592568,163.7379,163.86456,163.79796,113.57605,113.91622,113.74535,72.45404677,1.03,16.599019,1.342568,6.68587206,0.56496524,16.16347336,6.51088721,14.93418011,0.1785103,5.97901125,0.07568983,15.14645141,0.28623254,6.0679805,0.12056813,15.53763576,0.45202959,6.23513963,0.19263598,15.88926133,0.66778069,6.3878478,0.28791711,16.13903688,0.90570829,6.49409105,0.38731237
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,295.994,302.594,299.294,174.127,174.127,174.127,121.866,128.466,125.166,14.895623,15.775226,15.334325,149.3336,149.40314,149.37222,129.92969,130.1618,130.04416,70.38770878,1.86,10.14025464,1.0681737,6.5247464,0.69434933,10.30430699,6.62177615,8.67789657,0.07547395,5.5762359,0.0482604,8.77916331,0.14985354,5.64074582,0.09571804,9.20265717,0.51152633,5.91523375,0.33126208,9.67646053,0.79114109,6.22303932,0.51368762,9.83232887,0.87270104,6.3245318,0.56709067
