Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,48,2013-02-10T04:54:21,85.3,90.0,87.65,267.773,272.473,270.123,354.9,354.9,354.9,272.872,277.572,275.222,9.444292,9.572525,9.507591,95.4945,95.518616,95.50946,138.18712,138.49236,138.34027,72.49087265,1.33,0.93489592,0.09286663,0.69847705,0.0694487,0.93069595,0.69547972,0.79712952,0.02471497,0.59430783,0.01854353,0.82750538,0.04090784,0.61807319,0.03171594,0.86595352,0.04940804,0.64698292,0.03749852,0.8961493,0.05942093,0.66957326,0.04475729,0.90441473,0.06159711,0.67576328,0.04635168
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,38,2013-02-13T19:24:13,36.5,40.2,38.35,156.535,160.235,158.385,4.632,4.632,4.632,151.903,155.603,153.753,0.0,3.6323278,3.4980292,0.0,163.86458,159.48746,0.0,113.916214,110.75206,72.45404677,1.06,16.90477667,1.32395052,7.07945137,1.75590509,16.49884912,6.64601865,15.23363002,0.17567217,6.09751628,0.0734551,15.46753816,0.30890052,6.19741948,0.13107842,15.88241542,0.46468324,6.37429446,0.19884077,16.22217934,0.66658548,6.53197064,0.30577757,16.4568707,0.88353236,6.6422051,0.41044396
SENS_ISS_196RF_FMOVIE006_PRIME,0,68,2013-08-28T21:35:25,178.0,184.7,181.35,295.894,302.594,299.244,174.127,174.127,174.127,121.766,128.466,125.116,14.8956375,15.791223,15.341042,149.3336,149.40312,149.37173,129.92317,130.1618,130.04239,70.38770878,1.89,10.20557286,1.09825964,6.56656433,0.71391161,10.3508119,6.66094806,8.72329935,0.07216599,5.60541594,0.04667403,8.84069202,0.15957037,5.679928,0.10179432,9.25781869,0.51290918,5.95050723,0.33245079,9.73332,0.80410001,6.25935026,0.52214274,9.88875073,0.88559717,6.36041231,0.57525854
