Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Radial Res,Max Radial Res,Mean Radial Res,Min Angular Res,Max Angular Res,Mean Angular Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std
SENS_ISS_173RF_HIRESFRNG001_PRIME,0,8,2012-10-18T14:57:01,123.1,123.8,123.45,223.35,224.05,223.7,45.502,45.502,45.502,177.848,178.548,178.198,2.9436126,2.9474328,2.9458454,2.134e-05,2.153e-05,2.145e-05,73.55803,73.719406,73.63529,41.51876,41.6545,41.58927,73.79691863,0.22,1.39885385,1.48695843,0.268409,1.04675539,1.11222541,0.20127283
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.925,272.625,270.255,354.901,354.901,354.901,273.024,277.724,275.353,9.444301,9.572524,9.507041,8.436e-05,8.616e-05,8.532e-05,95.4945,95.51861,95.50955,138.18709,138.49234,138.33894,72.49087265,1.31,0.92927008,0.93221769,0.09167436,0.69402044,0.69646099,0.06854476
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,38,2013-02-13T19:24:13,36.5,40.2,38.35,156.5,160.2,158.35,4.633,4.633,4.633,151.867,155.567,153.717,-999.0,3.6323266,-22.791447,-999.0,6.412e-05,-26.289413,-57238.48,163.86458,-1346.7883,-57238.48,113.916214,-1395.5238,72.45404677,1.06,16.34785627,16.7274542,1.32372773,6.58642597,7.00621267,1.74962208
SENS_ISS_196RF_FMOVIE006_PRIME,0,68,2013-08-28T21:35:25,178.0,184.7,181.35,296.0,302.7,299.35,174.128,174.128,174.128,121.872,128.572,125.222,14.895628,15.791223,15.341042,0.0001263,0.00013005,0.00012844,149.33362,149.40312,149.37173,129.92317,130.1618,130.04239,70.38770878,1.89,10.32431231,10.18602408,1.09826538,6.64390533,6.55398407,0.71386707
SENS_ISS_233RI_HIRESAFRG001_PRIME,0,21,2016-03-10T00:10:36,37.1,39.1,38.1,112.475,114.475,113.475,149.449,149.449,149.449,323.026,325.026,324.026,2.3423197,2.460141,2.4006011,4.49e-05,4.578e-05,4.534e-05,85.44557,85.48565,85.45373,109.74161,110.00037,109.8698,64.04443632,0.58,2.95531855,2.86168457,0.40288474,1.00049593,0.97231307,0.13498434
