Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,237,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.125,354.9,354.9,354.9,272.852,277.612,275.224,9.444301,9.57365,9.507649,95.494156,95.51873,95.509445,138.185,138.49492,138.34041,72.49087266,1.32,0.9328182,0.09473462,0.6969268,0.07084232,0.92921963,0.69434472,0.79346549,0.02444179,0.59165316,0.01847075,0.82403494,0.04173665,0.61536189,0.03218409,0.86247518,0.04969998,0.64437373,0.03775236,0.89345116,0.06030122,0.66756244,0.04543902,0.90458197,0.0642369,0.67587665,0.04830498
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.5626016,3.6334634,3.5925698,163.7373,163.86621,163.79831,113.572334,113.91956,113.74535,72.45404641,1.03,16.73905774,1.34543385,6.74227142,0.56640381,16.31764963,6.56563941,15.07561864,0.19272222,6.03573296,0.08086873,15.29377048,0.30865604,6.12746251,0.12982279,15.69026646,0.46543232,6.29669047,0.19826974,16.06390372,0.70232023,6.45912445,0.30311139,16.30441085,0.92800183,6.56133519,0.39735441
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.171,14.890234,15.781025,15.333669,149.33333,149.40326,149.37228,129.9278,130.1635,130.04434,70.38770878,1.85,10.16104215,1.08375062,6.53814642,0.70431474,10.28534096,6.62868278,8.68590282,0.08378178,5.58132312,0.0529413,8.79730171,0.15552975,5.65215411,0.09883054,9.22409137,0.5193617,5.92909352,0.33632553,9.69284469,0.798829,6.23358168,0.51852303,9.87016919,0.89026873,6.34898428,0.57831355
