Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,238,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.223,9.444366,9.573644,9.507611,95.49414,95.51872,95.50946,138.18494,138.4949,138.34032,72.49087266,1.32,0.75038273,0.05654622,0.56064522,0.04261462,0.75360852,0.56345754,0.64944725,0.01775398,0.48425916,0.01328999,0.67168579,0.0319184,0.50119929,0.02429547,0.70742772,0.04230894,0.52829327,0.03210422,0.72797863,0.04561788,0.54382015,0.03454355,0.73590541,0.04799622,0.54980253,0.03632246
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,184,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.44,4.632,4.632,4.632,151.963,155.643,153.808,3.5625653,3.6334598,3.5926554,163.7373,163.86618,163.79852,113.57229,113.91957,113.74489,72.45404641,1.02,12.51931895,0.89685235,5.04230368,0.37867988,12.26595804,4.93814996,11.48553186,0.09390114,4.59766201,0.03991526,11.59138183,0.15243818,4.64331933,0.06535469,11.83037619,0.27461526,4.74751055,0.1196023,12.09672092,0.46715968,4.86404482,0.20424205,12.23209995,0.57813112,4.92268993,0.25173915
SENS_ISS_196RF_FMOVIE006_PRIME,0,334,2013-08-28T21:35:25,178.06,184.74,181.41,295.954,302.634,299.302,174.127,174.127,174.127,121.826,128.506,125.175,14.890174,15.781227,15.333219,149.33333,149.40327,149.37231,129.92757,130.16351,130.04446,70.38770878,1.86,9.81670375,1.237353,6.31676462,0.80329446,9.57592911,6.15806986,8.27757998,0.11713147,5.31780384,0.07621669,8.38037485,0.15986849,5.38453443,0.10378389,8.72237063,0.40027296,5.60612928,0.25896044,9.25980016,0.86000184,5.95538838,0.55880815,9.46860897,0.99209963,6.09097325,0.644485
