Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,47,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.102,354.9,354.9,354.9,272.872,277.572,275.202,9.444292,9.572525,9.507041,95.4945,95.518616,95.50955,138.18712,138.49236,138.33894,72.49087265,1.31,0.92774578,0.08772128,0.69312475,0.06563719,0.93426082,0.69753603,0.78414472,0.02658466,0.58462699,0.0199273,0.81410445,0.04551106,0.6075094,0.03450783,0.859178,0.05457407,0.64196268,0.04154,0.89167667,0.06352763,0.66627275,0.04793719,0.90064763,0.06582489,0.6729655,0.04958258
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633862,3.6323278,3.5925705,163.7379,163.86458,163.79794,113.57606,113.916214,113.74535,72.45404677,1.03,16.61732989,1.34700577,6.6932501,0.56677122,16.18727405,6.50544434,14.9584544,0.18796382,5.9887307,0.0793856,15.16166548,0.27820792,6.07407108,0.11730347,15.5526485,0.45104477,6.24144998,0.19240307,15.90728288,0.67526485,6.39509522,0.29084934,16.15450825,0.90463242,6.50031601,0.38695228
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,295.994,302.594,299.294,174.127,174.127,174.127,121.866,128.466,125.166,14.8956375,15.775226,15.334323,149.3336,149.40312,149.37222,129.9297,130.1618,130.04416,70.38770878,1.86,10.13722688,1.06880786,6.52279731,0.69473877,10.30017835,6.63592577,8.67415616,0.07595371,5.57383096,0.04833355,8.77614935,0.15054599,5.63880811,0.09606822,9.19886591,0.51048612,5.91279695,0.33059482,9.67275974,0.79068903,6.22065689,0.51336008,9.82928488,0.87338489,6.32246697,0.56733372
