Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,46,2013-02-10T04:54:21,85.3,90.0,87.63,267.773,272.473,270.105,354.9,354.9,354.9,272.872,277.572,275.205,9.444366,9.5725155,9.507124,95.4945,95.518616,95.50949,138.18698,138.49236,138.33914,72.49087264,1.28,0.92542811,0.09089237,0.69139042,0.06795141,0.92081943,0.68864408,0.78576367,0.02381671,0.58580271,0.01783934,0.81649232,0.03920299,0.6094868,0.03015317,0.85933926,0.0500607,0.64205675,0.03812206,0.88576536,0.05667229,0.66180577,0.04275838,0.89871354,0.06283117,0.67152818,0.04733908
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,37,2013-02-13T19:24:13,36.6,40.2,38.4,156.635,160.235,158.435,4.632,4.632,4.632,152.003,155.603,153.803,3.5633714,3.6323116,3.5925558,163.73788,163.8646,163.79794,113.57604,113.91622,113.74535,72.45404677,1.03,16.53235095,1.32259092,6.65894628,0.55627507,16.18689751,6.50814988,14.97338914,0.36899715,5.99338391,0.15046236,15.16095022,0.34779923,6.07662014,0.14655331,15.49778848,0.44174878,6.22004528,0.18837941,15.81697041,0.59557766,6.35866638,0.25776202,16.08019969,0.89404283,6.47034266,0.3815786
SENS_ISS_196RF_FMOVIE006_PRIME,0,67,2013-08-28T21:35:25,178.1,184.7,181.4,295.994,302.594,299.294,174.127,174.127,174.127,121.866,128.466,125.166,14.895583,15.775225,15.334321,149.3336,149.40309,149.37222,129.92969,130.16183,130.04417,70.38770878,1.86,10.14188482,1.09263768,6.52580679,0.71006449,10.26000543,6.59236215,8.66117391,0.09706017,5.56547946,0.06109044,8.76604304,0.15614819,5.63230654,0.09924167,9.18745085,0.49737122,5.90493011,0.32112313,9.66721804,0.79789719,6.21711746,0.51803762,9.82309665,0.87838885,6.31862333,0.57076954
