Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.3,90.04,87.67,267.773,272.513,270.138,354.9,354.9,354.9,272.872,277.612,275.238,9.444313,9.57365,9.508003,95.49414,95.51873,95.509415,138.18709,138.4949,138.34125,72.49087266,1.31,0.93426467,0.09587704,0.6980176,0.07170626,0.92840204,0.69402991,0.79403576,0.02496057,0.5921555,0.01896655,0.82468545,0.04222665,0.61584777,0.03250564,0.86403463,0.05046771,0.64556505,0.0383377,0.89454631,0.06026767,0.66838694,0.04541222,0.90538524,0.06423661,0.67648245,0.04830516
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,183,2013-02-13T19:24:13,36.58,40.24,38.42,156.615,160.275,158.451,4.632,4.632,4.632,151.983,155.643,153.818,3.5631802,3.6334617,3.5928354,163.7373,163.8662,163.79846,113.572334,113.91811,113.743904,72.45404641,1.02,16.59426983,1.33581618,6.68356069,0.56220502,16.1719229,6.5112289,14.97424919,0.1623839,5.99479263,0.06865563,15.17052732,0.28524029,6.0780557,0.12053199,15.56064108,0.45021875,6.24438062,0.19196289,15.92717462,0.68744426,6.40378138,0.29662503,16.15528223,0.90608697,6.50058401,0.38758962
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.296,174.127,174.127,174.127,121.826,128.506,125.169,14.89023,15.781044,15.334037,149.33333,149.40327,149.37225,129.92776,130.16348,130.04424,70.38770878,1.85,10.14181115,1.08450285,6.5257638,0.70480467,10.27365946,6.61327437,8.67041673,0.07998641,5.57125064,0.05041962,8.78632728,0.16104494,5.64519744,0.10250604,9.2003457,0.51270246,5.91359073,0.33162121,9.67266465,0.79977446,6.22055841,0.51909735,9.85178198,0.89362076,6.33717194,0.580531
