Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median,EW Mean 15,EW Std 15,Normal EW Mean 15,Normal EW Std 15,EW Mean 25,EW Std 25,Normal EW Mean 25,Normal EW Std 25,EW Mean 50,EW Std 50,Normal EW Mean 50,Normal EW Std 50,EW Mean 75,EW Std 75,Normal EW Mean 75,Normal EW Std 75,EW Mean 85,EW Std 85,Normal EW Mean 85,Normal EW Std 85
SENS_ISS_181RF_FMOVIE001_PRIME,0,236,2013-02-10T04:54:21,85.28,90.04,87.65,267.753,272.513,270.124,354.9,354.9,354.9,272.852,277.612,275.224,9.444301,9.57365,9.50763,95.494156,95.51873,95.509445,138.185,138.49492,138.34035,72.49087266,1.31,0.93346309,0.09840286,0.69740748,0.07357228,0.93317834,0.69722748,0.79408362,0.02939216,0.59211425,0.02210375,0.82150333,0.04056396,0.61341999,0.03124216,0.86250406,0.05137367,0.6444153,0.03898779,0.89289458,0.06068035,0.66713826,0.04569104,0.90434626,0.06535504,0.67568492,0.04910746
SENS_ISS_181RF_FRINGPHOT001_VIMS,0,185,2013-02-13T19:24:13,36.56,40.24,38.4,156.595,160.275,158.435,4.632,4.632,4.632,151.963,155.643,153.803,3.5626016,3.6334634,3.5925698,163.7373,163.86621,163.79831,113.572334,113.91956,113.74535,72.45404641,1.03,16.70638272,1.35231297,6.72911606,0.56903741,16.2795096,6.55618752,15.03869448,0.19184698,6.02104994,0.08054922,15.25367124,0.30369168,6.11142129,0.12774901,15.65618837,0.46883258,6.28315091,0.19978196,16.02427413,0.6964755,6.44335364,0.30105625,16.2673268,0.92885755,6.54641559,0.39753028
SENS_ISS_196RF_FMOVIE006_PRIME,0,333,2013-08-28T21:35:25,178.06,184.74,181.4,295.954,302.634,299.299,174.127,174.127,174.127,121.826,128.506,125.171,14.890234,15.781025,15.333669,149.33333,149.40326,149.37228,129.9278,130.1635,130.04434,70.38770878,1.85,10.15966329,1.08498349,6.53725973,0.70510742,10.29666283,6.62928494,8.68485942,0.08401394,5.58066748,0.05316359,8.79715955,0.15746273,5.65206246,0.10006466,9.22130857,0.51581654,5.92725659,0.33393216,9.68985946,0.7965272,6.23167017,0.51705054,9.8675473,0.88899663,6.34728074,0.57746382
