Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std,Core Offset Median,Core Offset Mean,Core Offset Std
ISS_033RF_FMOVIE001_VIMS,0,17166,2006-11-25T16:52:47,0.0,359.98,179.52,291.994,301.297,296.891,349.381,350.949,350.173,301.628,310.372,306.718,10.039805,10.407507,10.1735,159.64923,160.813,160.26564,119.08481,122.61253,120.88613,75.12775356,95.37,10.86614603,1.54250144,5.5699094,0.75871949,3.48813714,0.28148203,1.78940688,0.14144241,4.75919887,1.35057103,2.43913271,0.68768861,2.61881003,0.30156147,1.34136981,0.13439409,5.88781941,0.84677602,0.56292698,0.07979647,-15.0,-12.31,11.969
ISS_036RF_FMOVIE001_VIMS,0,18000,2006-12-23T09:43:43,0.0,359.98,179.99,285.166,294.079,290.103,64.184,65.842,65.028,219.71,228.418,225.075,11.6990595,11.849619,11.773392,158.58452,161.00554,159.7674,122.63014,125.77663,124.28747,75.51264846,100.0,11.38566965,4.47397493,6.42704712,2.62254309,3.99607866,2.53459816,2.26135974,1.48486554,5.13761102,2.03754953,2.89533495,1.17261782,2.25197997,0.80815401,1.27035243,0.47242775,6.79895261,2.74573955,0.66991199,0.28753813,-15.0,-14.785,27.158
ISS_036RF_FMOVIE002_VIMS,0,16046,2007-01-05T14:31:59,0.0,359.98,188.19,247.931,260.835,255.468,99.827,101.331,100.585,148.069,159.504,154.883,10.175323,10.55741,10.361926,131.06734,135.70941,133.36711,143.63052,145.6949,144.77722,75.69550969,89.14,2.69684619,2.34502946,2.19938885,1.90496498,1.019604,1.82748539,0.83078011,1.48625844,1.11647428,0.63038883,0.91101555,0.51157551,0.56076791,0.28433646,0.45759318,0.2304347,2.30546778,1.94967578,0.73686016,0.60420555,0.0,-5.198,31.687
ISS_039RF_FMOVIE001_VIMS,0,18000,2007-02-27T07:18:39,0.0,359.98,179.99,194.775,210.735,203.665,242.128,243.89,243.033,312.547,326.844,320.632,10.153094,10.244501,10.194272,101.40309,108.09622,104.8431,143.66588,146.75105,145.32146,76.4397546,100.0,1.48794262,0.80804061,1.21978814,0.65327468,0.31828794,0.18880646,0.2610376,0.15249161,0.71054975,0.47034912,0.58246804,0.38143063,0.45910493,0.41056511,0.3762825,0.33367109,1.29044942,0.69538927,0.84239983,0.47247297,10.0,13.218,17.832
ISS_039RF_FMOVIE002_VIMS,0,16520,2007-02-10T11:47:11,0.0,359.98,187.53,241.768,256.024,248.994,196.727,198.291,197.515,45.04,57.732,51.478,10.221658,10.286767,10.254651,125.325714,131.16293,128.21068,146.7758,148.76643,147.9388,76.20085431,91.78,2.31899087,1.38692915,1.96358041,1.17249936,0.62838738,0.61613304,0.53246483,0.52185481,1.03611223,0.59931854,0.87737057,0.50643379,0.65449126,0.56231013,0.55374501,0.4750988,2.06773285,1.22609157,0.78513425,0.45609172,10.0,8.28,24.192
ISS_039RF_FMOVIE003_VIMS,0,3535,2007-02-11T15:43:11,74.0,144.68,109.34,263.066,268.286,265.978,199.87,200.182,200.032,62.884,68.104,65.945,10.106246,10.164152,10.13192,136.4739,137.8783,137.12714,143.36708,144.37514,143.9417,76.21102869,19.64,2.28740445,0.31603204,1.84906081,0.25468595,0.54092169,0.06504522,0.43723795,0.05212398,1.02580521,0.26406764,0.82919753,0.21315802,0.72067755,0.11898567,0.58262533,0.09609274,1.94867066,0.27853636,0.54875884,0.07763505,20.0,17.233,17.504
ISS_041RF_FMOVIE001_VIMS,0,15410,2007-03-31T09:35:11,44.0,352.18,198.09,172.644,182.964,179.833,328.792,330.203,329.509,203.776,212.761,210.324,11.851454,11.957459,11.8629055,82.179474,85.653435,83.93877,128.18346,130.51357,129.406,76.89618431,85.61,1.74029933,0.74028415,1.10166251,0.460591,0.59074276,0.53387526,0.37260399,0.33361596,0.77862268,0.45654082,0.49345813,0.28718332,0.37093389,0.11808927,0.23560039,0.07504494,1.16746244,0.49046056,0.95740943,0.40629512,0.0,-5.363,31.647
ISS_041RF_FMOVIE002_VIMS,0,18000,2007-03-17T03:49:19,0.0,359.98,179.99,205.117,218.136,211.901,290.34,292.038,291.198,274.507,286.097,280.702,10.416426,10.754048,10.593033,106.20979,111.87248,109.0337,143.60162,145.4418,144.57385,76.69391687,100.0,1.63494588,0.84600926,1.33130649,0.68610266,0.44881163,0.36985234,0.36508565,0.2996036,0.7619304,0.46533889,0.62057287,0.37805555,0.42420384,0.2673168,0.34564796,0.21738531,1.40785265,0.73042828,0.85333645,0.45224035,5.0,3.837,18.649
ISS_043RF_FMOVIE001_VIMS,0,17830,2007-04-18T03:26:39,0.0,359.98,178.65,177.702,188.413,184.025,16.706,18.374,17.557,160.341,170.057,166.468,12.0191,12.323344,12.172182,83.66826,87.28558,85.49678,125.61963,127.653915,126.64262,77.1525157,99.06,1.76122207,0.76105257,1.05136838,0.45475565,0.609006,0.56468584,0.36306352,0.33676891,0.74688345,0.42516351,0.44609521,0.25449741,0.40533261,0.11534451,0.24220965,0.06996173,1.11279981,0.48118066,0.89966547,0.38889241,5.0,-1.37,36.41
ISS_044RF_FMOVIE001_VIMS,0,18000,2007-05-05T04:51:11,0.0,359.98,179.99,177.147,186.843,182.923,62.768,64.419,63.61,112.728,122.54,119.313,11.896049,12.369499,12.136317,80.253975,83.49567,81.884605,118.63974,120.15556,119.404144,77.39863729,100.0,2.02403966,0.70311689,0.99592763,0.35531385,0.6215882,0.45340088,0.30734225,0.2277423,0.88279408,0.50302014,0.43404003,0.24981741,0.51965738,0.14977768,0.25454535,0.07171298,1.06039981,0.38717386,0.88068964,0.31712856,10.0,6.768,36.258
