Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,EW139470,EW139470 STD,Normal EW139470,Normal EW139470 STD,EW139550,EW139550 STD,Normal EW139550,Normal EW139550 STD,EW139630,EW139630 STD,Normal EW139630,Normal EW139630 STD,EW139710,EW139710 STD,Normal EW139710,Normal EW139710 STD,EW139790,EW139790 STD,Normal EW139790,Normal EW139790 STD,EW139870,EW139870 STD,Normal EW139870,Normal EW139870 STD,EW139950,EW139950 STD,Normal EW139950,Normal EW139950 STD,EW140030,EW140030 STD,Normal EW140030,Normal EW140030 STD,EW140110,EW140110 STD,Normal EW140110,Normal EW140110 STD,EW140190,EW140190 STD,Normal EW140190,Normal EW140190 STD,EW140270,EW140270 STD,Normal EW140270,Normal EW140270 STD,EW140350,EW140350 STD,Normal EW140350,Normal EW140350 STD,EW140430,EW140430 STD,Normal EW140430,Normal EW140430 STD,EW140510,EW140510 STD,Normal EW140510,Normal EW140510 STD,EW140590,EW140590 STD,Normal EW140590,Normal EW140590 STD,EW140670,EW140670 STD,Normal EW140670,Normal EW140670 STD,EW140750,EW140750 STD,Normal EW140750,Normal EW140750 STD,EW140830,EW140830 STD,Normal EW140830,Normal EW140830 STD,EW140910,EW140910 STD,Normal EW140910,Normal EW140910 STD
ISS_033RF_FMOVIE001_VIMS,0,17166,2006-11-25T16:52:47,0.0,359.98,10.04,10.408,10.174,159.649,160.813,160.266,119.085,122.613,120.886,75.128,95.36666666666666,10.86615,1.5425,5.56991,0.75872,2.91796,0.12706,1.49678,0.05711,6.17966,1.57793,3.16528,0.79286,1.76853,0.0979,0.90785,0.05798,0.02046,0.00275,0.01049,0.00137,0.03582,0.00284,0.01837,0.00139,0.06136,0.0035,0.03147,0.00163,0.10976,0.00576,0.05629,0.00254,0.21842,0.01314,0.11199,0.00534,0.45931,0.03071,0.23552,0.01345,0.85754,0.05547,0.43956,0.02094,1.04842,0.06395,0.53822,0.0378,1.2761,0.60483,0.65477,0.30796,4.16014,1.33189,2.13186,0.68112,1.20895,0.32685,0.61729,0.15747,0.71456,0.07437,0.36754,0.04624,0.38503,0.02552,0.19736,0.00969,0.18587,0.01151,0.09538,0.00628,0.07774,0.00542,0.03986,0.00238,0.03022,0.00252,0.0155,0.0013,0.01166,0.00212,0.00598,0.00108,0.0039,0.00138,0.002,0.00071,0.00088,0.00133,0.00045,0.00068
ISS_036RF_FMOVIE001_VIMS,0,18000,2006-12-23T09:43:43,0.0,359.98,11.699,11.85,11.773,158.585,161.006,159.767,122.63,125.777,124.287,75.513,100.0,11.38567,4.47397,6.42705,2.62254,3.22549,1.95501,1.82418,1.14595,7.01537,2.7431,3.95578,1.59088,1.14481,0.49171,0.64709,0.28965,0.04267,0.03335,0.02416,0.01948,0.07375,0.05678,0.04175,0.03319,0.12275,0.09683,0.06948,0.05659,0.21337,0.23853,0.12079,0.13894,0.3608,0.31508,0.204,0.18368,0.57617,0.3009,0.32542,0.17628,0.83261,0.3751,0.47008,0.22006,0.8947,0.60403,0.50684,0.3541,1.70207,1.30419,0.96404,0.75252,4.31477,1.89737,2.43014,1.08446,1.48803,0.46848,0.83796,0.26891,0.50093,0.17025,0.28292,0.10077,0.16242,0.0975,0.09199,0.05718,0.05536,0.05575,0.03151,0.0325,0.02433,0.03352,0.01391,0.01949,0.01182,0.02111,0.00679,0.01224,0.00585,0.0134,0.00338,0.00776,0.00251,0.00825,0.00147,0.00477,0.00073,0.0039,0.00044,0.00224
ISS_036RF_FMOVIE002_VIMS,0,16046,2007-01-05T14:31:59,0.0,359.98,10.175,10.557,10.362,131.067,135.709,133.367,143.631,145.695,144.777,75.696,89.14444444444445,2.69685,2.34503,2.19939,1.90496,0.82057,1.53336,0.66868,1.24712,1.5158,1.02457,1.23654,0.83153,0.36048,0.13594,0.29416,0.10984,0.01023,0.01563,0.00834,0.01272,0.01829,0.03029,0.01491,0.02465,0.03067,0.05564,0.025,0.04527,0.0505,0.10217,0.04115,0.08312,0.08488,0.19681,0.06917,0.1601,0.13629,0.33092,0.11105,0.26919,0.19551,0.39248,0.15935,0.31922,0.25911,0.46527,0.21115,0.37834,0.3574,0.56945,0.29108,0.46298,0.99319,0.50323,0.8106,0.40846,0.28579,0.19457,0.23317,0.15797,0.1379,0.05004,0.11254,0.04041,0.07109,0.02117,0.05803,0.01708,0.03823,0.0109,0.03122,0.00883,0.0173,0.00739,0.01412,0.00598,0.00672,0.00493,0.00548,0.004,0.00259,0.00311,0.00211,0.00252,0.00093,0.00189,0.00075,0.00154,0.00022,0.0009,0.00018,0.00073
ISS_039RF_FMOVIE001_VIMS,0,18000,2007-02-27T07:18:39,0.0,359.98,10.153,10.245,10.194,101.403,108.096,104.843,143.666,146.751,145.321,76.44,100.0,1.48794,0.80804,1.21979,0.65327,0.2138,0.07766,0.17567,0.06294,0.98255,0.65422,0.80499,0.52997,0.2916,0.21638,0.23913,0.1758,0.00128,0.00072,0.00105,0.00059,0.00237,0.00092,0.00195,0.00075,0.00397,0.00121,0.00326,0.00099,0.00659,0.00174,0.00542,0.00142,0.01164,0.00283,0.00957,0.0023,0.0223,0.005,0.01834,0.00408,0.04731,0.01288,0.03891,0.01059,0.10096,0.05034,0.08294,0.04092,0.17604,0.21424,0.14383,0.17361,0.65638,0.41346,0.53824,0.3355,0.22164,0.27971,0.18147,0.2276,0.10312,0.09694,0.08449,0.07886,0.06678,0.04567,0.0548,0.03725,0.03563,0.02059,0.02927,0.01684,0.01746,0.00886,0.01435,0.00726,0.00825,0.00404,0.00678,0.00331,0.00385,0.00211,0.00317,0.00173,0.00176,0.00123,0.00144,0.00101,0.00062,0.00066,0.00051,0.00055
ISS_039RF_FMOVIE002_VIMS,0,16520,2007-02-10T11:47:11,0.0,359.98,10.222,10.287,10.255,125.326,131.163,128.211,146.776,148.766,147.939,76.201,91.77777777777779,2.31899,1.38693,1.96358,1.1725,0.46707,0.43116,0.39583,0.36527,1.41683,0.91688,1.19966,0.77499,0.43509,0.35238,0.36809,0.29756,0.00288,0.00177,0.00244,0.0015,0.00553,0.00333,0.00469,0.00283,0.00989,0.00605,0.00839,0.00514,0.017,0.01104,0.01441,0.00937,0.02937,0.02082,0.0249,0.01766,0.0542,0.04319,0.04595,0.03663,0.11038,0.10565,0.09355,0.08956,0.2079,0.24679,0.17616,0.20907,0.28503,0.35025,0.24143,0.29656,0.94231,0.51535,0.79792,0.43527,0.29685,0.33109,0.25118,0.27992,0.1387,0.16189,0.11727,0.13675,0.08742,0.07275,0.07391,0.06132,0.05612,0.03101,0.0475,0.02611,0.03171,0.01556,0.02685,0.01313,0.02138,0.00835,0.01813,0.00707,0.01276,0.00515,0.01081,0.00436,0.00686,0.00282,0.00581,0.00239,0.0027,0.00124,0.00228,0.00105
ISS_039RF_FMOVIE003_VIMS,0,3535,2007-02-11T15:43:11,74.0,144.68,10.106,10.164,10.132,136.474,137.878,137.127,143.367,144.375,143.942,76.211,19.63888888888889,2.2874,0.31603,1.84906,0.25469,0.41695,0.0243,0.33703,0.01889,1.33221,0.30117,1.07683,0.2428,0.53824,0.045,0.4352,0.03732,0.00287,0.00065,0.00232,0.00052,0.00615,0.00064,0.00497,0.00051,0.01091,0.00062,0.00882,0.00048,0.01833,0.00078,0.01482,0.0006,0.0304,0.00139,0.02457,0.00107,0.05293,0.00223,0.04279,0.00171,0.09886,0.00417,0.07992,0.00323,0.17237,0.01365,0.13932,0.01074,0.21684,0.11814,0.17527,0.09532,0.95706,0.22983,0.77365,0.1856,0.23285,0.11424,0.18817,0.09207,0.1362,0.01867,0.11014,0.01534,0.14625,0.01756,0.11827,0.01451,0.09467,0.01172,0.07655,0.00968,0.05551,0.00334,0.04488,0.00274,0.02854,0.00215,0.02307,0.00172,0.01523,0.00231,0.01231,0.00185,0.00814,0.00164,0.00658,0.00131,0.0033,0.00072,0.00266,0.00058
ISS_041RF_FMOVIE001_VIMS,0,15410,2007-03-31T09:35:11,44.0,352.18,11.851,11.957,11.863,82.179,85.653,83.939,128.183,130.514,129.406,76.896,85.61111111111111,1.7403,0.74028,1.10166,0.46059,0.44269,0.38595,0.27911,0.24058,1.07942,0.57695,0.68384,0.36214,0.21819,0.06828,0.13871,0.04389,0.00252,0.0014,0.0016,0.00088,0.00517,0.0018,0.00328,0.00114,0.00921,0.00268,0.00585,0.00171,0.01603,0.00545,0.01018,0.00349,0.02909,0.01159,0.01847,0.00738,0.05364,0.03175,0.03388,0.01964,0.12173,0.11662,0.07656,0.07253,0.1804,0.22996,0.1136,0.14385,0.27301,0.35479,0.17247,0.22351,0.67855,0.37624,0.43017,0.23673,0.22012,0.10348,0.13967,0.06538,0.0996,0.04083,0.06336,0.02622,0.03407,0.01228,0.0217,0.008,0.01081,0.00281,0.00688,0.00183,0.00382,0.00123,0.00242,0.00077,0.00162,0.00117,0.00103,0.00074,0.00066,0.00116,0.00042,0.00073,0.00021,0.00103,0.00013,0.00065,1e-05,0.00077,1e-05,0.00049
ISS_041RF_FMOVIE002_VIMS,0,18000,2007-03-17T03:49:19,0.0,359.98,10.416,10.754,10.593,106.21,111.872,109.034,143.602,145.442,144.574,76.694,100.0,1.63495,0.84601,1.33131,0.6861,0.32071,0.19592,0.26095,0.15849,1.04126,0.68863,0.84783,0.55902,0.27297,0.13968,0.22253,0.11384,0.00186,0.00085,0.00152,0.00069,0.00331,0.00118,0.0027,0.00096,0.0056,0.00183,0.00456,0.00149,0.00974,0.00295,0.00794,0.0024,0.01772,0.00508,0.01444,0.00414,0.03489,0.01092,0.02843,0.00891,0.07442,0.02997,0.06059,0.02421,0.14923,0.12868,0.12132,0.10417,0.22011,0.29556,0.179,0.2398,0.69386,0.40552,0.56517,0.32957,0.21087,0.20129,0.17167,0.16361,0.11456,0.07626,0.09337,0.06217,0.05901,0.03716,0.04816,0.03041,0.02373,0.01301,0.01938,0.01068,0.00941,0.0044,0.00768,0.00362,0.00392,0.00187,0.0032,0.00153,0.00169,0.00108,0.00138,0.00088,0.00076,0.00082,0.00062,0.00067,0.00025,0.00052,0.0002,0.00043
ISS_043RF_FMOVIE001_VIMS,0,17830,2007-04-18T03:26:39,0.0,359.98,12.019,12.323,12.172,83.668,87.286,85.497,125.62,127.654,126.643,77.153,99.05555555555556,1.76122,0.76105,1.05137,0.45476,0.47249,0.40646,0.28144,0.242,1.04446,0.55645,0.62402,0.33329,0.24427,0.05595,0.1459,0.03407,0.00267,0.0016,0.0016,0.00096,0.00579,0.00206,0.00346,0.00124,0.01093,0.00314,0.00652,0.00189,0.02026,0.00657,0.01207,0.00389,0.03849,0.01855,0.02287,0.01083,0.0756,0.05775,0.04489,0.03405,0.12611,0.13248,0.07507,0.07872,0.16984,0.24381,0.10134,0.14537,0.24391,0.37026,0.14587,0.2214,0.66229,0.3566,0.39547,0.21319,0.23049,0.10018,0.13786,0.06053,0.10137,0.0324,0.06051,0.01938,0.04318,0.00813,0.02576,0.00481,0.01808,0.00218,0.01079,0.00131,0.00712,0.00133,0.00425,0.00079,0.00304,0.0012,0.00182,0.00072,0.00135,0.00151,0.00081,0.0009,0.00055,0.0016,0.00033,0.00096,0.00014,0.00112,9e-05,0.00067
ISS_044RF_FMOVIE001_VIMS,0,18000,2007-05-05T04:51:11,0.0,359.98,11.896,12.369,12.136,80.254,83.496,81.885,118.64,120.156,119.404,77.399,100.0,2.02404,0.70312,0.99593,0.35531,0.48338,0.33991,0.23881,0.17041,1.19695,0.65592,0.58871,0.32732,0.34371,0.0837,0.16841,0.03978,0.00234,0.00147,0.00115,0.00073,0.00488,0.00175,0.0024,0.00086,0.00997,0.00226,0.00489,0.00108,0.01868,0.00477,0.00916,0.0023,0.03609,0.01605,0.01772,0.00789,0.07346,0.05381,0.03618,0.02663,0.12935,0.12093,0.06394,0.06022,0.18393,0.23885,0.09114,0.11935,0.25158,0.3375,0.12464,0.16909,0.7941,0.41436,0.39017,0.20494,0.25878,0.12303,0.12661,0.05952,0.1326,0.0544,0.06493,0.02631,0.06622,0.01928,0.03252,0.00952,0.03359,0.00642,0.01652,0.00332,0.01606,0.00332,0.00789,0.00163,0.00767,0.00186,0.00376,0.00089,0.00341,0.00146,0.00167,0.00071,0.00116,0.0013,0.00057,0.00064,0.00017,0.00088,8e-05,0.00043
