Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
UVIS_HSP_2006_337_ETALUP_E,2006-12-03T16:39:36,2006-12-03T16:42:58,2006-12-03T16:41:17,34,UVIS_034ST_URETALUP001_PRIME,ETA LUP,BOTH,110,190,GOOD,104.99,105.48,105.233,16.606,18.454,17.527,44.5,-1.0,-1.0,294.613,0.033,2.873,3.326,7.466,ISS_033RF_FMOVIE001_VIMS,7.7,ISS_036RF_FMOVIE001_VIMS,20.02
UVIS_HSP_2006_350_KAPCEN_E,2006-12-17T00:52:15,2006-12-17T00:55:28,2006-12-17T00:53:51,35,UVIS_035ST_URKAPCEN001_PRIME,KAP CEN,EGRESS,110,190,GOOD,17.0,17.18,17.088,84.226,85.345,84.784,48.5,0.01,8.1,295.401,0.032,2.893,3.253,5.841,ISS_033RF_FMOVIE001_VIMS,21.04,ISS_036RF_FMOVIE001_VIMS,6.68
UVIS_HSP_2006_352_ALPARA_E,2006-12-18T17:40:08,2006-12-18T17:45:09,2006-12-18T17:42:38,35,"UVIS_035ST_URALPARA002_PRIME,UVIS_035ST_URALPARA001_PRIME",ALP ARA,BOTH,110,190,GOOD,20.55,20.72,20.638,177.747,179.6,178.676,54.4,0.01,7.76,295.241,0.048,4.939,5.202,10.998,ISS_033RF_FMOVIE001_VIMS,22.74,ISS_036RF_FMOVIE001_VIMS,4.98
UVIS_HSP_2006_363_GAMPEG_I,2006-12-29T09:01:13,2006-12-29T09:02:53,2006-12-29T09:02:03,36,UVIS_036ST_URGAMPEG001_PRIME,GAM PEG,BOTH,110,190,GOOD,86.56,87.0,86.78,173.49,173.727,173.608,-20.3,0.01,10.14,295.595,0.031,2.948,3.239,7.898,ISS_036RF_FMOVIE001_VIMS,5.66,ISS_036RF_FMOVIE002_VIMS,7.51
UVIS_HSP_2006_363_GAMPEG_E,2006-12-29T12:38:33,2006-12-29T12:40:12,2006-12-29T12:39:23,36,UVIS_036ST_URGAMPEG001_PRIME,GAM PEG,BOTH,110,190,GOOD,172.87,173.3,173.085,171.961,172.202,172.081,-20.3,0.01,10.15,295.595,0.04,3.846,4.205,9.836,ISS_036RF_FMOVIE001_VIMS,5.81,ISS_036RF_FMOVIE002_VIMS,7.36
UVIS_HSP_2007_002_KAPCEN_I,2007-01-02T15:14:37,2007-01-02T15:17:52,2007-01-02T15:16:15,36,UVIS_036ST_URKAPCEN001_PRIME,KAP CEN,INGRESS,110,190,GOOD,215.99,216.05,216.021,343.075,344.453,343.765,48.5,0.01,7.59,294.979,0.049,4.576,5.178,9.396,ISS_036RF_FMOVIE001_VIMS,9.92,ISS_036RF_FMOVIE002_VIMS,3.25
UVIS_HSP_2007_003_EPSLUP_E,2007-01-03T13:26:36,2007-01-03T13:30:09,2007-01-03T13:28:22,36,UVIS_036ST_UREPSLUP001_PRIME,EPS LUP,EGRESS,110,190,GOOD,53.64,53.71,53.675,2.296,3.804,3.05,51.0,0.01,7.54,295.169,0.072,6.672,7.694,11.063,ISS_036RF_FMOVIE001_VIMS,10.84,ISS_036RF_FMOVIE002_VIMS,2.32
UVIS_HSP_2007_009_GAMGRU_I,2007-01-09T20:17:19,2007-01-09T20:33:14,2007-01-09T20:25:05,37,UVIS_037ST_URGAMGRU001_PRIME,GAM GRU,BOTH,110,190,FAIR,304.62,306.47,305.518,192.354,196.942,194.699,35.1,0.01,9.01,294.826,0.096,7.622,9.857,18.397,ISS_036RF_FMOVIE002_VIMS,3.96,,31.93
UVIS_HSP_2007_009_GAMGRU_E,2007-01-09T23:44:22,2007-01-10T00:00:27,2007-01-09T23:52:37,37,UVIS_037ST_URGAMGRU001_PRIME,GAM GRU,BOTH,110,190,FAIR,329.46,331.33,330.419,133.47,138.1,135.729,35.1,0.01,9.01,294.826,0.042,3.863,4.356,7.286,ISS_036RF_FMOVIE002_VIMS,4.11,,31.79
UVIS_HSP_2007_015_DELPER_I,2007-01-15T13:20:39,2007-01-15T13:22:49,2007-01-15T13:21:44,37,UVIS_037ST_URDELPER001_PRIME,DEL PER,INGRESS,110,190,FAIR,28.92,29.03,28.972,196.969,197.955,197.459,-54.0,0.02,6.84,293.745,0.18,17.308,19.777,30.449,ISS_036RF_FMOVIE002_VIMS,9.67,ISS_039RF_FMOVIE002_VIMS,26.23
UVIS_HSP_2007_020_EPSLUP_E,2007-01-21T00:06:46,2007-01-21T00:11:49,2007-01-21T00:09:18,37,UVIS_037ST_UREPSLUP001_PRIME,EPS LUP,BOTH,110,190,GOOD,91.53,91.95,91.742,327.477,329.932,328.705,51.0,0.01,10.46,293.062,0.062,6.59,6.956,10.349,ISS_036RF_FMOVIE002_VIMS,15.12,ISS_039RF_FMOVIE002_VIMS,20.78
UVIS_HSP_2007_022_GAMARA_I,2007-01-22T01:37:55,2007-01-22T01:42:39,2007-01-22T01:40:17,37,"UVIS_037ST_URGAMARA007_PRIME,UVIS_037ST_URGAMARA001_PRIME",GAM ARA,BOTH,110,190,GOOD,248.29,248.48,248.387,225.75,227.471,226.613,61.0,0.01,7.57,293.108,0.271,39.422,42.646,52.123,ISS_036RF_FMOVIE002_VIMS,16.18,ISS_039RF_FMOVIE002_VIMS,19.71
UVIS_HSP_2007_022_GAMARA_E,2007-01-22T19:42:05,2007-01-22T19:46:48,2007-01-22T19:44:27,37,"UVIS_037ST_URGAMARA007_PRIME,UVIS_037ST_URGAMARA001_PRIME",GAM ARA,BOTH,110,190,GOOD,18.34,18.53,18.433,277.649,279.368,278.506,61.0,-1.0,-1.0,292.416,0.05,4.33,5.142,9.715,ISS_036RF_FMOVIE002_VIMS,16.94,ISS_039RF_FMOVIE002_VIMS,18.96
UVIS_HSP_2007_037_PSICEN_I,2007-02-06T22:42:17,2007-02-06T22:45:55,2007-02-06T22:44:06,38,UVIS_038ST_URPSICEN008_PRIME,PSI CEN,INGRESS,110,190,POOR,198.08,198.3,198.19,295.353,297.04,296.197,44.3,0.06,4.31,287.984,0.053,4.343,5.59,11.643,,32.06,ISS_039RF_FMOVIE002_VIMS,3.84
UVIS_HSP_2007_049_DELPER_I,2007-02-18T17:41:32,2007-02-18T17:43:53,2007-02-18T17:42:42,39,UVIS_039ST_URDELPER001_PRIME,DEL PER,INGRESS,110,190,FAIR,29.2,29.31,29.251,104.969,106.03,105.495,-54.0,0.02,6.81,283.531,0.052,4.041,5.361,7.487,ISS_039RF_FMOVIE003_VIMS,7.02,ISS_039RF_FMOVIE001_VIMS,8.9
UVIS_HSP_2007_056_CHICEN_I,2007-02-25T20:10:56,2007-02-25T20:15:42,2007-02-25T20:13:19,39,UVIS_039ST_URCHICEN009_PRIME,CHI CEN,INGRESS,110,190,FAIR,258.28,258.59,258.438,159.255,160.877,160.068,47.6,0.01,7.03,281.295,0.073,6.908,7.708,14.897,ISS_039RF_FMOVIE002_VIMS,15.06,ISS_039RF_FMOVIE001_VIMS,1.8
UVIS_HSP_2007_060_THEARA_I,2007-03-01T17:34:00,2007-03-01T17:45:13,2007-03-01T17:39:34,40,UVIS_040ST_URTHEARA001_PRIME,THE ARA,BOTH,110,190,FAIR,153.07,154.09,153.589,306.692,312.252,309.497,53.9,0.01,9.92,280.016,0.055,5.405,5.936,12.233,ISS_039RF_FMOVIE001_VIMS,2.1,ISS_041RF_FMOVIE002_VIMS,15.74
UVIS_HSP_2007_063_GAMGRU_E,2007-03-04T14:21:09,2007-03-04T14:23:34,2007-03-04T14:22:21,40,UVIS_040ST_URGAMGRU005_PRIME,GAM GRU,EGRESS,110,190,FAIR,18.95,19.16,19.057,308.389,309.157,308.774,35.1,0.02,6.19,279.491,0.051,4.678,5.316,14.045,ISS_039RF_FMOVIE001_VIMS,4.96,ISS_041RF_FMOVIE002_VIMS,12.88
UVIS_HSP_2007_073_3CEN_E,2007-03-14T12:12:13,2007-03-14T12:16:13,2007-03-14T12:14:13,40,UVIS_040ST_UR3CEN010_PRIME,3 CEN,EGRESS,110,190,POOR,38.21,38.25,38.227,319.306,320.882,320.093,39.3,0.03,5.89,276.567,0.045,4.312,4.728,11.609,ISS_039RF_FMOVIE001_VIMS,14.87,ISS_041RF_FMOVIE002_VIMS,2.97
UVIS_HSP_2007_073_PSICEN_I,2007-03-14T13:52:38,2007-03-14T13:57:08,2007-03-14T13:54:53,40,UVIS_040ST_URPSICEN010_PRIME,PSI CEN,INGRESS,110,190,POOR,227.35,227.38,227.363,107.655,109.44,108.545,44.3,0.06,3.66,276.567,0.054,4.307,5.64,11.232,ISS_039RF_FMOVIE001_VIMS,14.94,ISS_041RF_FMOVIE002_VIMS,2.9
UVIS_HSP_2007_078_THEARA_E,2007-03-19T19:49:26,2007-03-19T19:54:00,2007-03-19T19:51:43,41,UVIS_041ST_URTHEARA001_PRIME,THE ARA,EGRESS,110,190,FAIR,59.74,59.87,59.802,125.97,127.945,126.954,53.9,0.02,6.9,275.743,0.05,4.622,5.311,9.489,ISS_041RF_FMOVIE002_VIMS,2.35,ISS_041RF_FMOVIE001_VIMS,11.84
UVIS_HSP_2007_080_GAMGRU_I,2007-03-21T11:08:55,2007-03-21T11:11:30,2007-03-21T11:10:13,41,UVIS_041ST_URGAMGRU001_PRIME,GAM GRU,BOTH,110,190,FAIR,269.84,270.19,270.016,103.65,104.346,104.0,35.1,-1.0,-1.0,275.138,0.22,22.904,25.511,32.473,ISS_041RF_FMOVIE002_VIMS,3.99,ISS_041RF_FMOVIE001_VIMS,10.2
UVIS_HSP_2007_080_GAMGRU_E,2007-03-21T18:03:29,2007-03-21T18:06:05,2007-03-21T18:04:47,41,UVIS_041ST_URGAMGRU001_PRIME,GAM GRU,BOTH,110,190,FAIR,8.48,8.83,8.653,34.746,35.443,35.092,35.1,-1.0,-1.0,275.205,0.034,3.005,3.547,9.41,ISS_041RF_FMOVIE002_VIMS,4.28,ISS_043RF_FMOVIE001_VIMS,27.71
UVIS_HSP_2007_082_DELPER_I,2007-03-23T12:02:22,2007-03-23T12:04:02,2007-03-23T12:03:12,41,UVIS_041ST_URDELPER001_PRIME,DEL PER,INGRESS,110,190,FAIR,47.05,47.08,47.065,135.383,136.03,135.707,-54.0,0.03,6.24,274.996,0.035,3.204,3.644,10.511,ISS_041RF_FMOVIE002_VIMS,6.03,ISS_041RF_FMOVIE001_VIMS,8.16
UVIS_HSP_2007_092_KAPCEN_I,2007-04-02T07:33:08,2007-04-02T07:42:45,2007-04-02T07:37:56,42,UVIS_042ST_URKAPCEN001_PRIME,KAP CEN,BOTH,110,190,GOOD,277.65,278.24,277.946,52.498,55.793,54.151,48.5,0.01,10.71,273.825,0.047,4.558,4.99,4.873,ISS_041RF_FMOVIE001_VIMS,1.65,ISS_043RF_FMOVIE001_VIMS,16.14
UVIS_HSP_2007_098_BETPER_I,2007-04-08T15:47:29,2007-04-08T15:48:51,2007-04-08T15:48:10,42,UVIS_042ST_URBETPER001_PRIME,BET PER,INGRESS,110,190,FAIR,46.67,46.7,46.687,92.719,93.242,92.983,-47.4,0.02,6.77,274.214,0.057,4.027,5.82,9.483,ISS_041RF_FMOVIE001_VIMS,7.99,ISS_043RF_FMOVIE001_VIMS,9.8
UVIS_HSP_2007_112_MUSCO_E,2007-04-22T13:26:23,2007-04-22T13:34:02,2007-04-22T13:30:13,43,UVIS_043ST_URMUSCO001_PRIME,MU SCO,BOTH,110,190,GOOD,89.56,90.07,89.814,322.57,326.174,324.368,43.4,0.01,10.63,274.42,0.06,4.757,6.221,19.872,ISS_041RF_FMOVIE001_VIMS,21.9,ISS_044RF_FMOVIE001_VIMS,12.95
UVIS_HSP_2008_003_ALPSCO_E,2008-01-03T11:21:03,2008-01-03T11:25:12,2008-01-03T11:23:08,55,UVIS_055RI_ALPSCOOCC001_VIMS,ALP SCO,EGRESS,110,190,POOR,51.23,51.71,51.466,33.527,35.68,34.599,32.2,0.04,4.9,240.426,0.073,7.939,8.672,13.418,ISS_055RF_FMOVIE001_VIMS,2.53,ISS_055RI_LPMRDFMOV001_PRIME,4.18
UVIS_HSP_2008_026_BETLUP_I,2008-01-26T19:25:35,2008-01-26T19:28:59,2008-01-26T19:27:17,57,UVIS_057ST_URBETLUP001_PRIME,BET LUP,INGRESS,110,190,POOR,223.85,224.02,223.935,305.627,306.83,306.229,49.6,0.01,7.96,241.739,0.035,3.681,3.877,10.803,ISS_055RI_LPMRDFMOV001_PRIME,19.16,ISS_059RF_FMOVIE001_VIMS,21.99
UVIS_HSP_2008_026_DELLUP_I,2008-01-26T21:03:52,2008-01-26T21:06:48,2008-01-26T21:05:20,57,UVIS_057ST_URDELLUP001_PRIME,DEL LUP,INGRESS,110,190,POOR,200.69,200.72,200.706,242.795,243.951,243.374,47.0,0.01,7.53,241.739,0.034,3.69,3.806,10.009,ISS_057RF_FMOVIE001_VIMS,3.02,ISS_059RF_FMOVIE001_VIMS,21.92
UVIS_HSP_2008_026_GAMLUP_I,2008-01-26T22:42:44,2008-01-26T22:45:32,2008-01-26T22:44:08,57,UVIS_057ST_URGAMLUP001_PRIME,GAM LUP,INGRESS,110,190,POOR,202.74,202.78,202.757,204.953,206.043,205.495,47.4,0.01,8.16,241.739,0.036,3.525,3.791,8.059,ISS_057RF_FMOVIE001_VIMS,3.09,ISS_059RF_FMOVIE001_VIMS,21.85
UVIS_HSP_2008_060_ZETCEN_I,2008-02-29T16:28:24,2008-02-29T16:32:00,2008-02-29T16:30:12,60,UVIS_060ST_URZETCEN001_PRIME,ZET CEN,INGRESS,110,190,GOOD,205.76,205.83,205.796,12.187,13.572,12.881,53.6,0.01,8.54,240.672,0.027,2.103,2.775,7.428,ISS_059RF_FMOVIE002_VIMS,4.86,,126.7
UVIS_HSP_2008_062_DELPER_I,2008-03-02T06:47:42,2008-03-02T06:49:11,2008-03-02T06:48:27,60,UVIS_060SA_URDELPER001_INMS,DEL PER,INGRESS,110,190,FAIR,12.64,12.69,12.663,330.605,331.256,330.929,-54.0,0.03,6.66,240.199,0.029,2.642,3.062,12.845,ISS_059RF_FMOVIE002_VIMS,6.46,ISS_061RI_LPMRDFMOV001_PRIME,13.31
UVIS_HSP_2008_082_ZETCEN_E,2008-03-22T15:53:39,2008-03-22T15:57:20,2008-03-22T15:55:29,62,UVIS_062ST_URZETCEN001_PRIME,ZET CEN,EGRESS,110,190,GOOD,9.34,9.4,9.368,346.56,347.989,347.273,53.6,0.01,8.58,235.02,0.031,2.678,3.156,9.623,ISS_061RI_LPMRDFMOV001_PRIME,7.07,,104.73
UVIS_HSP_2008_092_ALPARA_E,2008-04-01T12:08:45,2008-04-01T12:10:49,2008-04-01T12:09:47,63,UVIS_063ST_URALPARA001_PRIME,ALP ARA,EGRESS,110,190,GOOD,26.04,26.16,26.101,35.101,36.057,35.58,54.4,0.02,7.47,232.885,0.082,10.078,10.408,13.222,,36.68,,44.77
UVIS_HSP_2008_101_BETCEN_E,2008-04-10T15:06:28,2008-04-10T15:10:22,2008-04-10T15:08:25,64,UVIS_064ST_URBETCEN001_PRIME,BET CEN,EGRESS,110,190,GOOD,344.83,345.15,344.992,83.97,85.229,84.601,66.7,0.01,10.33,230.172,0.046,4.745,5.12,9.337,,45.8,,35.65
UVIS_HSP_2008_110_EPSCEN_I,2008-04-19T10:14:50,2008-04-19T10:18:11,2008-04-19T10:16:30,65,"UVIS_065ST_UREPSCEN001_PRIME,UVIS_065ST_UREPSCEN001_PRIME",EPS CEN,INGRESS,110,190,GOOD,202.92,202.97,202.941,222.196,223.504,222.848,59.6,0.01,8.59,228.204,0.057,6.22,6.643,13.652,,34.83,,76.96
UVIS_HSP_2008_111_ALPARA_E,2008-04-20T15:31:27,2008-04-20T15:33:31,2008-04-20T15:32:29,65,"UVIS_065ST_URALPARA001_PRIME,UVIS_065ST_URALPARA001_PRIME",ALP ARA,EGRESS,110,190,POOR,25.75,25.88,25.816,55.58,56.543,56.063,54.4,0.02,7.12,228.286,0.035,3.214,3.631,8.929,,55.82,,75.74
UVIS_HSP_2008_119_DELCEN_I,2008-04-28T16:39:34,2008-04-28T16:49:36,2008-04-28T16:44:33,66,"UVIS_066ST_URDELCEN001_PRIME,UVIS_066ST_URDELCEN001_PRIME",DEL CEN,BOTH,110,190,GOOD,265.86,266.91,266.379,290.272,293.282,291.787,55.6,0.01,11.21,227.037,0.032,3.072,3.367,7.406,,44.1,ISS_068RF_FMOVIE001_VIMS,17.58
UVIS_HSP_2008_137_DELCEN_I,2008-05-16T18:04:08,2008-05-16T18:07:11,2008-05-16T18:05:40,68,"UVIS_068ST_URDELCEN001_PRIME,UVIS_068ST_URDELCEN001_PRIME",DEL CEN,INGRESS,110,190,POOR,202.89,202.95,202.92,159.607,160.781,160.194,55.6,0.01,8.25,227.2,0.019,1.815,1.927,6.164,ISS_068RF_FMOVIE001_VIMS,0.47,,49.64
UVIS_HSP_2008_188_BETCEN_I,2008-07-06T20:48:26,2008-07-06T20:50:35,2008-07-06T20:49:31,75,UVIS_075ST_URBETCEN001_PRIME,BET CEN,INGRESS,110,190,GOOD,172.92,173.05,172.985,263.378,264.379,263.878,66.7,0.01,9.29,229.772,0.042,4.508,4.885,8.581,ISS_075RF_FMOVIE002_VIMS,1.48,,30.4
UVIS_HSP_2008_202_BETCEN_I,2008-07-20T22:34:36,2008-07-20T22:36:45,2008-07-20T22:35:40,77,"UVIS_077ST_URBETCEN001_PRIME,UVIS_077ST_URBETCEN002_PRIME",BET CEN,BOTH,110,190,GOOD,172.85,172.99,172.918,352.909,353.916,353.411,66.7,0.01,9.58,227.485,0.044,4.787,4.952,9.895,ISS_075RF_FMOVIE002_VIMS,15.55,,30.36
UVIS_HSP_2008_203_BETCEN_E,2008-07-21T07:40:38,2008-07-21T07:43:19,2008-07-21T07:41:58,77,"UVIS_077ST_URBETCEN001_PRIME,UVIS_077ST_URBETCEN002_PRIME",BET CEN,BOTH,110,190,GOOD,23.98,24.14,24.06,343.145,344.393,343.77,66.7,0.01,9.52,227.485,0.019,1.654,1.983,5.503,ISS_075RF_FMOVIE002_VIMS,15.93,ISS_081RI_FMOVIE106_VIMS,29.98
UVIS_HSP_2008_210_BETCEN_E,2008-07-28T08:40:04,2008-07-28T08:42:45,2008-07-28T08:41:25,78,UVIS_078ST_URBETCEN001_PRIME,BET CEN,EGRESS,110,190,GOOD,23.81,23.98,23.897,205.206,206.463,205.837,66.7,0.01,9.41,224.917,0.041,4.185,4.698,8.209,ISS_075RF_FMOVIE002_VIMS,22.97,ISS_079RF_FRINGMRLF002_PRIME,8.9
UVIS_HSP_2008_217_ALPARA_I,2008-08-04T03:24:07,2008-08-04T03:26:02,2008-08-04T03:25:05,79,UVIS_079ST_URALPARA001_PRIME,ALP ARA,BOTH,110,190,GOOD,138.08,138.47,138.275,333.728,334.892,334.31,54.4,-1.0,-1.0,223.66,0.088,13.902,14.45,19.2,ISS_075RF_FMOVIE002_VIMS,29.75,ISS_083RI_FMOVIE109_VIMS,26.81
