Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std
ISS_111RF_FMOVIE002_PRIME,0,50,2009-05-26T09:40:14,0.0,0.98,5.278127,5.556897,5.3903136,37.87881,37.88223,37.88073,93.781235,93.79154,93.78639,88.82511886,53.7,9.070759,0.03904835,0.59900562,0.00287159,2.53263604,0.01015983,0.16724727,0.00066681,4.47005339,0.04888098,0.29519045,0.00342482,2.06806957,0.01851807,0.1365679,0.00112002,1.3449139,0.01109148,1.3145275,0.01083932
ISS_111RF_FMOVIE002_PRIME,1,50,2009-05-26T09:37:34,1.0,1.98,5.443683,5.8693156,5.632692,37.875553,37.908268,37.889874,93.7267,93.78104,93.75738,88.82511886,53.7,9.20920723,0.09393639,0.60345881,0.0027347,2.58784359,0.09894136,0.16954474,0.00538888,4.511488,0.02402657,0.29564749,0.00262156,2.10987564,0.01254992,0.13826658,0.00147008,1.35366731,0.00555502,1.32306607,0.00543434
ISS_111RF_FMOVIE002_PRIME,2,50,2009-05-26T09:35:26,2.0,2.98,5.4510107,5.8908224,5.6532497,37.903683,37.9365,37.920822,93.672165,93.7265,93.698425,88.82511886,53.7,9.65994429,0.20687069,0.6230277,0.00931804,2.68960291,0.0118018,0.17349707,0.0018365,4.7943905,0.17411572,0.30918908,0.00923292,2.17595088,0.043867,0.14034155,0.00194328,1.41456842,0.03574932,1.38252917,0.03491164
ISS_111RF_FMOVIE002_PRIME,3,50,2009-05-26T09:33:18,3.0,3.98,5.4517817,5.9004345,5.6663756,37.932037,37.964924,37.952545,93.6176,93.67196,93.63854,88.82511886,53.7,9.77735201,0.04551638,0.62049489,0.00558278,2.68080725,0.02228394,0.17012205,0.00088827,4.79818516,0.07817919,0.30452819,0.00667891,2.29835959,0.03749763,0.14584465,0.00160415,1.40709135,0.02018684,1.37516068,0.01975216
ISS_111RF_FMOVIE002_PRIME,4,50,2009-05-26T09:31:10,4.0,4.98,5.4597387,5.9239025,5.6904254,37.960365,37.993347,37.983727,93.56306,93.61741,93.5795,88.82511886,53.7,9.70818634,0.04746031,0.60612048,0.0052092,2.73151425,0.02753689,0.17052867,0.00090366,4.64188491,0.0443633,0.28981555,0.00379032,2.33478718,0.02031235,0.14577625,0.0021278,1.36168721,0.01306522,1.33072784,0.01278277
ISS_111RF_FMOVIE002_PRIME,5,50,2009-05-26T09:28:30,5.0,5.98,5.468806,5.9484606,5.7165217,37.988792,38.021885,38.015022,93.5085,93.56285,93.52043,88.82511886,53.7,9.58901558,0.04315126,0.58880419,0.00339028,2.80697969,0.0320251,0.17235322,0.00140774,4.54553336,0.06594264,0.27910863,0.0037821,2.23650254,0.03884579,0.13734234,0.00305736,1.32343299,0.01216261,1.29328576,0.01188766
ISS_111RF_FMOVIE002_PRIME,6,50,2009-05-26T09:24:14,6.0,6.98,5.478318,5.987555,5.7130876,38.017323,38.079323,38.048443,93.408775,93.50829,93.4586,88.82511886,53.7,9.33502184,0.07703953,0.56315996,0.00565756,2.90977456,0.03190528,0.17552987,0.0010984,4.26211016,0.08752248,0.25713376,0.00598284,2.16313711,0.00989391,0.13049632,0.00086003,1.24690237,0.02037095,1.21844065,0.01991303
ISS_111RF_FMOVIE002_PRIME,7,50,2009-05-26T09:21:34,7.0,7.98,5.480746,6.001891,5.696183,38.074932,38.10823,38.08268,93.35404,93.40861,93.395805,88.82511886,53.7,9.77489365,0.24634746,0.57893201,0.0119804,3.02660665,0.06151378,0.17925585,0.00261303,4.53869246,0.19023655,0.26879318,0.01011698,2.20959453,0.02151813,0.13088298,0.00157448,1.30150656,0.04094108,1.2717359,0.03999162
ISS_111RF_FMOVIE002_PRIME,8,50,2009-05-26T09:19:26,8.0,8.98,5.4918065,6.0311923,5.721765,38.103756,38.137154,38.114372,93.29932,93.353874,93.33656,88.82511886,53.7,10.36253052,0.20486422,0.60303564,0.00791916,3.10899928,0.022914,0.18094789,0.00177444,5.01335569,0.18927325,0.29171251,0.00905664,2.24017555,0.0227402,0.13037525,0.00095469,1.39551019,0.03568119,1.36352743,0.03483784
ISS_111RF_FMOVIE002_PRIME,9,50,2009-05-26T09:17:18,9.0,9.98,5.503535,6.0607934,5.7496414,38.132664,38.166187,38.146187,93.24458,93.299126,93.277306,88.82511886,53.7,11.04160766,0.13943573,0.63118113,0.00413261,3.15624034,0.0312925,0.18042592,0.0006889,5.5931489,0.09808813,0.31971637,0.00364839,2.29221842,0.01345037,0.13103884,0.00059567,1.50910355,0.01709676,1.47445085,0.01668067
