Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
VIMS_2008_074_RLEO_E,2008-03-14T08:29:35,2008-03-14T08:31:36,2008-03-14T08:30:36,61,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,135.39,136.31,135.854,269.211,269.322,269.268,9.55,0.0002,1.1405,237.438,0.059,4.748,6.01,10.731,ISS_059RF_FMOVIE002_VIMS,18.53,ISS_061RI_LPMRDFMOV001_PRIME,1.24
VIMS_2008_092_ALPTRA_I,2008-04-01T02:35:14,2008-04-01T02:40:51,2008-04-01T02:38:01,63,N/A,ALPTRA,BOTH,2866.0,2977.0,GOOD,273.118,274.042,273.576,153.451,154.799,154.128,-74.18,0.0015,6.2282,232.885,0.033,2.882,3.382,8.588,ISS_061RI_LPMRDFMOV001_PRIME,16.51,,45.17
VIMS_2008_092_ALPTRA_E,2008-04-01T07:10:57,2008-04-01T07:16:37,2008-04-01T07:13:48,63,N/A,ALPTRA,BOTH,2866.0,2977.0,GOOD,324.558,325.489,325.027,93.447,94.811,94.126,-74.18,0.0015,6.2144,232.885,0.067,7.36,7.662,11.362,,36.47,,44.98
VIMS_2008_094_RLEO_I,2008-04-03T12:32:07,2008-04-03T12:33:26,2008-04-03T12:32:46,63,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,75.374,75.95,75.661,351.9,351.944,351.921,9.55,0.0002,1.1141,231.937,0.044,4.292,4.786,7.842,ISS_061RI_LPMRDFMOV001_PRIME,18.93,,42.76
VIMS_2008_094_RLEO_E,2008-04-03T14:35:24,2008-04-03T14:36:44,2008-04-03T14:36:04,63,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,145.777,146.359,146.07,12.476,12.523,12.5,9.55,0.0002,1.0912,231.937,0.042,3.751,4.379,10.296,,38.78,,92.78
VIMS_2008_140_RLEO_I,2008-05-19T15:32:49,2008-05-19T15:34:04,2008-05-19T15:33:27,68,N/A,RLEO,BOTH,2866.0,2977.0,POOR,67.616,68.072,67.843,140.717,140.768,140.742,9.55,0.0018,0.7518,227.699,0.034,2.864,3.498,14.057,ISS_068RF_FMOVIE001_VIMS,3.37,,46.74
VIMS_2008_155_CWLEO_I,2008-06-03T13:43:07,2008-06-03T13:44:42,2008-06-03T13:43:54,70,N/A,CWLEO,BOTH,2866.0,2977.0,FAIR,68.197,68.671,68.433,96.06,96.225,96.142,11.38,0.0003,1.2849,229.29,0.045,4.462,4.68,5.228,,99.74,,31.82
VIMS_2008_167_GAMCRU_I,2008-06-15T11:27:58,2008-06-15T11:30:23,2008-06-15T11:29:11,72,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,187.376,187.423,187.399,125.479,126.501,125.99,-62.35,0.0068,4.3151,230.543,0.034,3.26,3.555,9.319,,30.2,ISS_075RF_FMOVIE002_VIMS,19.91
VIMS_2008_184_CWLEO_I,2008-07-02T00:15:39,2008-07-02T00:17:24,2008-07-02T00:16:31,74,N/A,CWLEO,BOTH,2866.0,2977.0,FAIR,72.45,73.003,72.725,109.701,109.852,109.776,11.38,0.0004,1.2003,230.672,0.055,5.556,5.908,14.398,,46.73,ISS_075RF_FMOVIE002_VIMS,3.38
VIMS_2008_184_CWLEO_E,2008-07-02T03:08:21,2008-07-02T03:10:05,2008-07-02T03:09:13,74,N/A,CWLEO,BOTH,2866.0,2977.0,FAIR,145.56,146.115,145.839,113.021,113.172,113.097,11.38,0.0005,1.1945,230.672,0.038,3.909,4.056,6.885,,128.3,ISS_075RF_FMOVIE002_VIMS,3.26
