OPUS ID             ,Primary File Spec                         ,Target       ,Start Time              ,Phase Angle ,Duration ,Observed Ring Radius (Min) [Ring] (km) ,Observed Ring Radius (Max) [Ring] (km) ,Observed J2000 Longitude (Min) [Ring] (degrees) ,Observed J2000 Longitude (Max) [Ring] (degrees) ,Observed Resolution (Min) [Ring] (km/pixel) ,Observed Resolution (Max) [Ring] (km/pixel) ,Observed Emission Angle (Min) [Ring] (degrees) ,Observed Emission Angle (Max) [Ring] (degrees) ,Observed Incidence Angle (Min) [Ring] (degrees) ,Note
vg-iss-2-s-c4397809 ,VGISS_6213/DATA/C43978XX/C4397809_RAW.LBL ,Saturn Rings ,1981-08-25T05:25:34.040 ,     25.144 ,    0.96 ,                            127938.942 ,                            159517.662 ,                                        257.01  ,                                        274.122 ,                                   11.5681  ,                                   12.03779 ,                                        73.806 ,                                        74.454 ,                                         81.954 ,3 F ring 'pseudo-rocks' (clumps)
Xvg-iss-2-s-c4397813 ,VGISS_6213/DATA/C43978XX/C4397813_RAW.LBL ,Saturn Rings ,1981-08-25T05:28:46.040 ,     25.318 ,    0.96 ,                            129098.18  ,                            159373.792 ,                                        258.513 ,                                        275.75  ,                                   11.5234  ,                                   11.98967 ,                                        73.764 ,                                        74.412 ,                                         81.954 ,3 F ring 'pseudo-rocks' (clumps)

vg-iss-2-s-c4397817 ,VGISS_6213/DATA/C43978XX/C4397817_RAW.LBL ,Saturn Rings ,1981-08-25T05:31:58.040 ,     15.705 ,    0.96 ,                            130393.35  ,                            147451.499 ,                                         85.909 ,                                        102.191 ,                                   10.27969 ,                                   10.65608 ,                                        71.76  ,                                        72.426 ,                                         81.953 ,3 F ring 'pseudo-rocks' (clumps)
vg-iss-2-s-c4397821 ,VGISS_6213/DATA/C43978XX/C4397821_RAW.LBL ,Saturn Rings ,1981-08-25T05:35:10.040 ,     15.469 ,    0.96 ,                            135958.441 ,                            151978.686 ,                                         87.518 ,                                        103.353 ,                                   10.27077 ,                                   10.64619 ,                                        71.77  ,                                        72.434 ,                                         81.953 ,3 F ring 'pseudo-rocks' (clumps)

vg-iss-2-s-c4398926 ,VGISS_6213/DATA/C43989XX/C4398926_RAW.LBL ,Saturn Rings ,1981-08-25T14:27:10.040 ,     38.582 ,    0.96 ,                            136290.632 ,                            146902.323 ,                                        301.537 ,                                        311.652 ,                                    7.07664 ,                                    7.29322 ,                                        69.967 ,                                        70.586 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division
vg-iss-2-s-c4398930 ,VGISS_6213/DATA/C43989XX/C4398930_RAW.LBL ,Saturn Rings ,1981-08-25T14:30:22.040 ,     38.804 ,    0.96 ,                            135157.313 ,                            144814.72  ,                                        306.546 ,                                        316.491 ,                                    6.9512  ,                                    7.16047 ,                                        69.635 ,                                        70.255 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division
vg-iss-2-s-c4398934 ,VGISS_6213/DATA/C43989XX/C4398934_RAW.LBL ,Saturn Rings ,1981-08-25T14:33:34.040 ,     39.066 ,    0.96 ,                            135776.858 ,                            144678.834 ,                                        310.673 ,                                        320.318 ,                                    6.84768 ,                                    7.05101 ,                                        69.36  ,                                        69.981 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division

vg-iss-2-s-c4399002 ,VGISS_6213/DATA/C43990XX/C4399002_RAW.LBL ,Saturn Rings ,1981-08-25T14:55:58.040 ,     19.631 ,    0.96 ,                            136781.281 ,                            147031.614 ,                                        135.449 ,                                        145.772 ,                                    7.04292 ,                                    7.28225 ,                                        70.274 ,                                        70.948 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division
vg-iss-2-s-c4399006 ,VGISS_6213/DATA/C43990XX/C4399006_RAW.LBL ,Saturn Rings ,1981-08-25T14:59:10.040 ,     19.558 ,    0.96 ,                            137647.849 ,                            147121.928 ,                                        132.892 ,                                        143.128 ,                                    6.96934 ,                                    7.20374 ,                                        70.103 ,                                        70.776 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division
vg-iss-2-s-c4399010 ,VGISS_6213/DATA/C43990XX/C4399010_RAW.LBL ,Saturn Rings ,1981-08-25T15:02:22.040 ,     19.638 ,    0.96 ,                            136140.727 ,                            145167.643 ,                                        128.927 ,                                        139.184 ,                                    6.86171 ,                                    7.08875 ,                                        69.824 ,                                        70.497 ,                                         81.948 ,2 F ring pseudo-rocks; PPS scan across Cassini Division

vg-iss-2-s-c4399339 ,VGISS_6213/DATA/C43993XX/C4399339_RAW.LBL ,Saturn Rings ,1981-08-25T17:47:10.520 ,     46.624 ,    0.48 ,                            123755.89  ,                            166350.779 ,                                        304.392 ,                                        346.1   ,                                   36.88524 ,                                   43.65434 ,                                        65.085 ,                                        69.149 ,                                         81.945 ,Radial scan across illuminated west ansa

vg-iss-2-s-c4399342 ,VGISS_6213/DATA/C43993XX/C4399342_RAW.LBL ,Saturn Rings ,1981-08-25T17:51:58.280 ,     48.222 ,    0.72 ,                            136648.983 ,                            142924.643 ,                                        324.593 ,                                        330.981 ,                                    5.25762 ,                                    5.38968 ,                                        66.785 ,                                        67.386 ,                                         81.946 ,Radial scan across illuminated west ansa

vg-iss-2-s-c4399915 ,VGISS_6213/DATA/C43999XX/C4399915_RAW.LBL ,Saturn Rings ,1981-08-25T22:18:22.280 ,     48.194 ,    0.72 ,                            118118.073 ,                            145619.451 ,                                         70.77  ,                                         78.088 ,                                   16.67858 ,                                   18.29176 ,                                        47.402 ,                                        51.891 ,                                         81.943 ,"A, B rings Encke Gap"

vg-iss-2-s-c4399832 ,VGISS_6213/DATA/C43998XX/C4399832_RAW.LBL ,Saturn Rings ,1981-08-25T21:41:34.040 ,     28.351 ,    0.96 ,                            124879.589 ,                            154068.14  ,                                        114.455 ,                                        139.587 ,                                   23.60879 ,                                   27.39565 ,                                        59.575 ,                                        64.125 ,                                         81.944 ,F ring; density waves; alternative TARGET_NAME = PROMETHEUS

vg-iss-2-s-c4399903 ,VGISS_6213/DATA/C43999XX/C4399903_RAW.LBL ,Saturn Rings ,1981-08-25T22:08:46.280 ,     68.26  ,    0.72 ,                            118546.835 ,                            145865.307 ,                                         12.28  ,                                         25.37  ,                                   19.63693 ,                                   21.64605 ,                                        54.272 ,                                        58.012 ,                                         81.943 ,"A, B rings Encke Gap"

vg-iss-2-s-c4399922 ,VGISS_6213/DATA/C43999XX/C4399922_RAW.LBL ,Saturn Rings ,1981-08-25T22:21:34.520 ,     30.493 ,    0.48 ,                            118606.545 ,                            147377.251 ,                                        133.405 ,                                        160.005 ,                                   23.53043 ,                                   27.6415  ,                                        61.497 ,                                        66.032 ,                                         81.944 ,"A, B rings Encke Gap"

Xvg-iss-2-s-c4400509 ,VGISS_6214/DATA/C44005XX/C4400509_RAW.LBL ,Saturn Rings ,1981-08-26T03:01:33.560 ,     94.005 ,    1.44 ,                            139706.851 ,                            140346.236 ,                                        142.91  ,                                        143.161 ,                                    0.48115 ,                                    0.48289 ,                                        16.74  ,                                        17.414 ,                                         81.941 ,S13 and F ring; spokes region @~150 phase; A ring edge

Xvg-iss-2-s-c4400508 ,VGISS_6214/DATA/C44005XX/C4400508_RAW.LBL ,Saturn Rings ,1981-08-26T03:00:39.320 ,     92.261 ,    7.68 ,                            137876.752 ,                            142227.326 ,                                        141.813 ,                                        143.515 ,                                    3.59115 ,                                    3.67862 ,                                        14.566 ,                                        19.119 ,                                         81.941 ,S13 and F ring; spokes region @~150 phase; A ring edge
Xvg-iss-2-s-c4400510 ,VGISS_6214/DATA/C44005XX/C4400510_RAW.LBL ,Saturn Rings ,1981-08-26T03:02:15.320 ,     91.35  ,    7.68 ,                            137772.958 ,                            142068.938 ,                                        143.303 ,                                        144.983 ,                                    3.52974 ,                                    3.61759 ,                                        15.053 ,                                        19.57  ,                                         81.941 ,S13 and F ring; spokes region @~150 phase; A ring edge
Xvg-iss-2-s-c4400512 ,VGISS_6214/DATA/C44005XX/C4400512_RAW.LBL ,Saturn Rings ,1981-08-26T03:03:51.320 ,     92.006 ,    7.68 ,                            137849.481 ,                            142078.14  ,                                        143.954 ,                                        145.604 ,                                    3.46478 ,                                    3.55299 ,                                        15.347 ,                                        19.881 ,                                         81.941 ,S13 and F ring; spokes region @~150 phase; A ring edge

Xvg-iss-2-s-c4400643 ,VGISS_6214/DATA/C44006XX/C4400643_RAW.LBL ,Saturn Rings ,1981-08-26T04:16:45.080 ,    152.988 ,    1.92 ,                            101622.568 ,                           2983051.776 ,                                         35.896 ,                                        168.754 ,                                    2.38658 ,                                  215.1946  ,                                        88.3   ,                                        89.982 ,                                         81.925 ,Ring plane crossing

vg-iss-2-s-c4400649 ,VGISS_6214/DATA/C44006XX/C4400649_RAW.LBL ,Saturn Rings ,1981-08-26T04:21:34.640 ,    135.924 ,    0.36 ,                            137610.652 ,                           3048573.611 ,                                         54.429 ,                                        160.954 ,                                    3.97477 ,                                  217.68571 ,                                        90.041 ,                                        92.19  ,                                         81.928 ,Ring plane crossing

Xvg-iss-2-s-c4409540 ,VGISS_6214/DATA/C44095XX/C4409540_RAW.LBL ,Saturn       ,1981-08-29T03:26:17.240 ,     95.656 ,    5.76 ,                             60290.192 ,                            300818.533 ,                                        259.201 ,                                        102.6   ,                                  216.92108 ,                                  243.21654 ,                                       117.667 ,                                       121.374 ,                                         81.897 ,

Xvg-iss-2-s-c4410636 ,VGISS_6214/DATA/C44106XX/C4410636_RAW.LBL ,Saturn Rings ,1981-08-29T12:11:10.280 ,     97.105 ,    0.72 ,                            109248.921 ,                            166715.326 ,                                        323.519 ,                                        349.154 ,                                   33.65765 ,                                   34.23032 ,                                       119.268 ,                                       119.816 ,                                         81.892 ,
Xvg-iss-2-s-c4410643 ,VGISS_6214/DATA/C44106XX/C4410643_RAW.LBL ,Saturn Rings ,1981-08-29T12:16:46.280 ,     97.08  ,    0.72 ,                            106924.554 ,                            163171.571 ,                                        324.665 ,                                        351.462 ,                                   33.72969 ,                                   34.30526 ,                                       119.231 ,                                       119.78  ,                                         81.892 ,
Xvg-iss-2-s-c4410650 ,VGISS_6214/DATA/C44106XX/C4410650_RAW.LBL ,Saturn Rings ,1981-08-29T12:22:22.280 ,     97.117 ,    0.72 ,                            109317.289 ,                            164675.162 ,                                        325.866 ,                                        352.548 ,                                   33.77575 ,                                   34.35164 ,                                       119.22  ,                                       119.768 ,                                         81.892 ,

Xvg-iss-2-s-c4410733 ,VGISS_6214/DATA/C44107XX/C4410733_RAW.LBL ,Saturn Rings ,1981-08-29T12:56:45.560 ,     97.096 ,    1.44 ,                            114152.57  ,                            173559.519 ,                                        322.284 ,                                        347.017 ,                                   33.89157 ,                                   34.46729 ,                                       119.313 ,                                       119.861 ,                                         81.891 ,
Xvg-iss-2-s-c4410740 ,VGISS_6214/DATA/C44107XX/C4410740_RAW.LBL ,Saturn Rings ,1981-08-29T13:02:21.560 ,     97.105 ,    1.44 ,                            113404.55  ,                            171045.933 ,                                        324.234 ,                                        349.386 ,                                   33.97172 ,                                   34.54988 ,                                       119.268 ,                                       119.816 ,                                         81.891 ,
Xvg-iss-2-s-c4410747 ,VGISS_6214/DATA/C44107XX/C4410747_RAW.LBL ,Saturn Rings ,1981-08-29T13:07:57.560 ,     97.096 ,    1.44 ,                            112133.085 ,                            168402.368 ,                                        325.63  ,                                        351.709 ,                                   34.04348 ,                                   34.62389 ,                                       119.232 ,                                       119.78  ,                                         81.891 ,
