TARGET_NAME,score,set1_opus_id,set2_opus_id,d_phase,d_incidence,d_emission,d_sub_solar_lat,d_sub_obs_lat,d_sub_solar_lon,d_sub_obs_lon,set1_name,set1_volume,set1_file,set1_filter,set1_instrument,set1_phase,set1_incidence,set1_emission,set1_sub_solar_lat,set1_sub_obs_lat,set1_sub_solar_lon,set1_sub_obs_lon,set1_resolution_km_px,set1_fov_fraction,set2_name,set2_volume,set2_file,set2_filter,set2_instrument,set2_phase,set2_incidence,set2_emission,set2_sub_solar_lat,set2_sub_obs_lat,set2_sub_solar_lon,set2_sub_obs_lon,set2_resolution_km_px,set2_fov_fraction
ENCELADUS,3.5026685898040673,co-iss-n1823505159,co-iss-w1823505159,0.0,2.5465000000000018,2.405000000000001,0.0,0.0,0.0,0.0,COISS NAC,COISS_2100,data/1823467073_1823539379/N1823505159_1.LBL,"CL1,CL2",ISSNA,26.536,57.552,45.1115,25.38,1.225,159.137,170.525,0.49541,0.9938895308936032,COISS WAC,COISS_2100,data/1823467073_1823539379/W1823505159_1.LBL,"CL1,CL2",ISSWA,26.536,55.0055,42.7065,25.38,1.225,159.137,170.525,4.94158,0.09964076520060385
ENCELADUS,3.671127653732574,co-iss-n1516160622,co-iss-w1516160576,0.012999999999998124,3.2375000000000043,1.7210000000000036,0.0,0.0010000000000000009,0.13999999999998636,0.11899999999999977,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160622_1.LBL,"CL1,CL2",ISSNA,23.031,56.496500000000005,44.968,-18.957,-0.429,241.111,227.153,0.89637,0.5493075543581334,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160576_1.LBL,"CL1,CL2",ISSWA,23.018,53.259,43.247,-18.957,-0.43,240.971,227.034,8.94249,0.05506104144371422
ENCELADUS,3.8749329349035233,co-iss-n1516160668,co-iss-w1516160760,0.027999999999998693,3.588000000000001,1.4165000000000063,0.0,0.0030000000000000027,0.28000000000000114,0.23600000000001842,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160668_1.LBL,"CL1,CL2",ISSNA,23.045,55.0735,44.751000000000005,-18.957,-0.427,241.25,227.272,0.89624,0.5493872316566991,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160760_1.LBL,"CL1,CL2",ISSWA,23.073,51.4855,43.3345,-18.957,-0.424,241.53,227.508,8.93719,0.0550936941589023
ENCELADUS,3.914494667259109,co-iss-n1516160714,co-iss-w1516160576,0.04100000000000037,3.403500000000001,1.853500000000004,0.0,0.0040000000000000036,0.4189999999999827,0.35599999999999454,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160714_1.LBL,"CL1,CL2",ISSNA,23.059,56.6625,45.100500000000004,-18.957,-0.426,241.39,227.39,0.8961,0.5494730638321615,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160576_1.LBL,"CL1,CL2",ISSWA,23.018,53.259,43.247,-18.957,-0.43,240.971,227.034,8.94249,0.05506104144371422
ENCELADUS,4.191301736930899,co-iss-n1516160576,co-iss-w1516160760,0.054999999999999716,3.6399999999999935,1.9435000000000002,0.0,0.006000000000000005,0.5589999999999975,0.47400000000001796,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160576_1.LBL,"CL1,CL2",ISSNA,23.018,55.125499999999995,45.278,-18.957,-0.43,240.971,227.034,0.89651,0.5492217738787074,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160760_1.LBL,"CL1,CL2",ISSWA,23.073,51.4855,43.3345,-18.957,-0.424,241.53,227.508,8.93719,0.0550936941589023
ENCELADUS,4.697293502645962,co-iss-n1516160760,co-iss-w1516160760,0.0,4.491999999999997,1.3735,0.0,0.0,0.0,0.0,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160760_1.LBL,"CL1,CL2",ISSNA,23.073,55.9775,44.708,-18.957,-0.424,241.53,227.508,0.89598,0.5495466556173129,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160760_1.LBL,"CL1,CL2",ISSWA,23.073,51.4855,43.3345,-18.957,-0.424,241.53,227.508,8.93719,0.0550936941589023
ENCELADUS,4.711420857872921,co-iss-n1516160530,co-iss-w1516160760,0.06800000000000139,4.493499999999997,1.0775000000000006,0.0,0.008000000000000007,0.6990000000000123,0.5930000000000177,COISS NAC,COISS_2019,data/1516036945_1516171123/N1516160530_1.LBL,"CL1,CL2",ISSNA,23.005,55.979,44.412,-18.957,-0.432,240.831,226.915,0.89665,0.5491360201862489,COISS WAC,COISS_2019,data/1516036945_1516171123/W1516160760_1.LBL,"CL1,CL2",ISSWA,23.073,51.4855,43.3345,-18.957,-0.424,241.53,227.508,8.93719,0.0550936941589023
ENCELADUS,5.017650172142304,co-iss-n1602280198,co-iss-w1602279510,0.0049999999999954525,3.304499999999976,2.402000000000008,0.0,0.007999999999995566,2.0700000000000003,2.0499999999999545,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280198_1.LBL,"CL1,CL2",ISSNA,72.813,80.27900000000001,44.359500000000004,-4.708,-62.179,4.916,303.554,0.76999,0.6394665028117249,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,5.027600347084069,co-iss-n1602279883,co-iss-w1602279510,0.001999999999995339,3.7354999999999876,2.9620000000000033,0.0,0.0049999999999954525,1.134,1.1239999999999668,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602279883_2.LBL,"CL1,CL2",ISSNA,72.81,79.848,44.9195,-4.708,-62.182,3.98,302.628,0.73963,0.6657150365723402,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,5.173093199431089,co-iss-n1584051633,co-iss-w1584052593,0.18099999999999739,1.8800000000000097,2.211500000000001,0.0,0.1700000000000017,2.9179999999999993,3.1240000000000236,COISS NAC,COISS_2042,data/1584035653_1584189857/N1584051633_2.LBL,"CL1,CL2",ISSNA,64.685,72.2155,44.4745,-7.95,-69.18,21.207,349.15,0.7825,0.6292432108626198,COISS WAC,COISS_2042,data/1584035653_1584189857/W1584052593_2.LBL,"CL1,CL2",ISSWA,64.504,70.3355,46.686,-7.95,-69.01,24.125,352.274,8.51736,0.05780932266570862
